,Module_Number
black,1
blue,2
brown,3
darkgreen,4
darkred,5
darkturquoise,6
gold,7
green,8
greenyellow,9
grey60,10
lightcyan,11
lightyellow,12
midnightblue,13
pink,14
purple,15
red,16
royalblue,17
salmon,18
tan,19
turquoise,20
yellow,21
