Module,Module_Gene_Count,GWAS_Overlap_Count,Overlap_Ratio,OddsRatio,P_value,P_adj
20,723,104,0.14384508990318118,2.0429453045363046,1.626667162562903e-09,3.090667608869516e-08
8,284,38,0.13380281690140844,1.8080043406366266,0.001152646647513583,0.010950143151379039
5,74,9,0.12162162162162163,1.598070993754447,0.13500705911698818,0.5130268246445551
11,104,12,0.11538461538461539,1.5064545047064097,0.12623031324259443,0.5130268246445551
9,126,12,0.09523809523809523,1.2133478024959305,0.3069923815772645,0.833265035709718
7,618,58,0.09385113268608414,1.203289270253556,0.11137696029641374,0.5130268246445551
4,195,18,0.09230769230769231,1.1728672902454462,0.29703411969876226,0.833265035709718
2,2888,231,0.07998614958448753,0.9999854666241023,0.513397956610804,0.9988030768648053
10,165,13,0.07878787878787878,0.9835085003530498,0.5647654085791327,0.9988030768648053
17,247,19,0.07692307692307693,0.9576843198338525,0.6057295408541443,0.9988030768648053
16,593,45,0.07588532883642496,0.941845383231154,0.6697526942420688,0.9988030768648053
18,251,19,0.07569721115537849,0.9408323486231962,0.6341440489880426,0.9988030768648053
19,3575,269,0.07524475524475524,0.9117007710066868,0.8998983160975276,0.9988030768648053
15,363,26,0.07162534435261708,0.8843350756738636,0.7520083684347127,0.9988030768648053
14,180,11,0.06111111111111111,0.7458058854715751,0.8617438623286076,0.9988030768648053
3,992,56,0.056451612903225805,0.669297225452733,0.9988030768648053,0.9988030768648053
13,322,16,0.049689440993788817,0.5948118377785897,0.9880362663079033,0.9988030768648053
1,474,23,0.04852320675105485,0.5766631445819624,0.997681859858376,0.9988030768648053
12,103,3,0.02912621359223301,0.3430541368743616,0.9909390294427181,0.9988030768648053
