Module,Module_Gene_Count,GWAS_Overlap_Count,Overlap_Ratio,OddsRatio,P_value,P_adj
2,1586,242,0.15258511979823455,2.276787899447591,2.175329638358234e-22,4.350659276716468e-21
10,104,12,0.11538461538461539,1.4121605498019376,0.1701132325155847,0.9995480148938553
9,221,22,0.09954751131221719,1.1970618910311825,0.24567498358972376,0.9995480148938553
12,92,8,0.08695652173913043,1.0274264897215717,0.5252539810529578,0.9995480148938553
3,1257,109,0.08671439936356404,1.0272785059370426,0.41708136231431514,0.9995480148938553
14,326,28,0.08588957055214724,1.0138202542086912,0.5024493634164299,0.9995480148938553
15,249,21,0.08433734939759036,0.993246003034193,0.5454955349314692,0.9995480148938553
19,207,17,0.0821256038647343,0.9643604043220635,0.5933596132286462,0.9995480148938553
13,131,9,0.06870229007633588,0.7936381246188614,0.7915457012233161,0.9995480148938553
20,4342,322,0.07415937356057116,0.7909992466949777,0.9995480148938553,0.9995480148938553
21,630,41,0.06507936507936508,0.7391866763683402,0.9751713945293533,0.9995480148938553
1,369,22,0.05962059620596206,0.6760851695362502,0.9736409707325802,0.9995480148938553
16,403,24,0.05955334987593052,0.6745225565785496,0.9786233522388671,0.9995480148938553
8,424,25,0.0589622641509434,0.6667559768016924,0.9832488961255457,0.9995480148938553
11,109,5,0.045871559633027525,0.5159104239986593,0.960071826192166,0.9995480148938553
5,66,3,0.045454545454545456,0.512008281573499,0.927143287607501,0.9995480148938553
18,154,7,0.045454545454545456,0.5098773133707631,0.9800326423824877,0.9995480148938553
17,91,4,0.04395604395604396,0.49369004290020385,0.956316236407855,0.9995480148938553
6,58,1,0.017241379310344827,0.18833961258895612,0.9942402095286099,0.9995480148938553
4,59,1,0.01694915254237288,0.1850736779115865,0.9947315484015391,0.9995480148938553
