Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",531/2244,1.157245135823666e-13,6.026932667369652e-10,0,0,1.4981807972273555,44.62715624797564,RB1;ATF2;ZNF175;GPATCH3;ENO1;RBPJ;BACH1;RRP8;ELK4;ZXDB;GPBP1;CREB3L2;BBX;SUPT20H;ZNF17;DDX17;MEF2A;ZNF287;ZNF18;RBFOX2;ZNF284;ZNF283;ZNF281;RFX3;ZNF12;SOX12;HCFC2;MED4;MED6;HCFC1;WDR77;DKK3;MED7;RFX7;RFX4;RFX5;ZSCAN23;ATF7;ATF6;CLOCK;ZNF396;ZNF275;URI1;ZNF395;HOXD1;MYNN;ZNF22;BAZ2B;AKAP17A;ZNF24;ZNF25;HIF1A;ZBTB7B;ZNF148;ZBTB7A;ZNF268;ZNF267;CDK17;CREBBP;ZNF384;ZNF142;ZNF140;NR2F1;PBX3;ZNF32;NR1D2;NR1D1;ZNF35;PHC3;COL1A1;TADA2B;TNFSF4;HNRNPD;HBP1;ZNF257;CDK14;ZNF134;FANK1;ZNF254;SETD5;ZNF253;ZNF493;ZNF492;ZNF250;SPIN3;BHLHE41;TFCP2L1;HIF3A;GLI1;PHF6;ING1;MED17;MED12;ZNF280D;ING5;MED14;NIPBL;MED13;HEY1;NKRF;ZNF280B;ZNF280C;SPIN1;ELOA;ZNF248;CIC;BRD3;TCF12;PAX6;BAZ1A;SIRT1;POU5F2;PHF20L1;GCFC2;ZEB1;PAX7;MED21;MTF2;RARA;ZNF117;PLCB1;ZNF599;ZNF595;ZNF471;ZNF518A;SPTY2D1;EGFR;BCLAF1;PLAGL1;STAT6;ZNF227;ZNF226;ZNF467;BRD7;MEF2D;SRSF10;RUNX1T1;ZNF100;ZNF583;ZNF582;BRF2;CDKN2A;PCGF5;MBD1;ELP2;WWP1;ELP3;GTF2H1;AGT;ZNF33A;RYBP;NFIA;ZNF74;ZNF219;RLIM;ZNF217;ZNF334;ZNF211;ZNF692;ZNF571;CCNT2;NAB1;GMNN;ZBTB26;ZBTB21;UBP1;ZBTB20;RORA;YEATS4;YY1;EFEMP1;HMGN5;SALL1;YY2;DACH1;ZFP30;SCMH1;ZNF208;MAEL;CIR1;SLC39A8;ZNF326;ZNF568;KMT5A;ZNF446;MAP3K5;ZNF684;MEN1;KCNH2;PIAS3;ZNF682;ZNF561;MAP2K1;ZNF681;ZNF680;ZBTB37;F2R;DYRK1A;DYRK1B;ZBTB34;MITF;ILF2;PIAS2;PIAS1;SAP30;LBHD1;MAF;DMTF1;KAT6A;ZNF438;ZNF317;ZNF558;PHIP;ZNF678;ZNF677;ZNF676;ZNF555;ZNF432;KMT2E;ZNF672;KHDRBS1;ENY2;CREM;GLIS3;CREBL2;FOXO3;FOXO1;NPAS3;GLIS2;TTC21B;NACC2;ZKSCAN8;NACC1;DVL2;ZNF548;DVL3;ZNF304;ZNF787;NDP;ZNF783;ZNF662;TRAPPC2;ESRRA;ZBTB17;BRPF1;NEK4;ZBTB14;ZBTB10;FOXN2;NFKB1;HOPX;LHX2;SP4;CNOT2;SP3;BCL3;TADA3;ZNF658;TADA1;MDM4;ZNF776;ZNF655;MNAT1;ZNF654;OGT;ZNF652;MAP3K12;ZNF772;NFE2L2;ZNF771;ZNF770;RNF10;CALCOCO1;RNF14;SUMO4;ZNF768;HMG20A;ERC1;CEP290;YAF2;ZNF521;ZNF883;EMX2;CHUK;ACTR5;ATRX;VEZF1;ACTR8;REXO4;PPM1A;ZNF639;TRAF6;ZNF516;LCOR;LCORL;ZNF510;NFAT5;SMARCD1;HDAC2;PLAG1;SRF;CEBPG;PBXIP1;MLLT3;MLLT6;ZNF629;BAHD1;ZNF506;ATXN1L;TP53INP1;ZNF626;ZNF746;ZNF625;ZNF624;E2F3;E2F5;E2F7;SMARCE1;PRRX1;CNBP;CDC5L;TBX6;KLF3;ZNF737;ZNF736;ZNF615;KLF9;PDCD4;POLR3F;ZNF614;POLR3G;ZNF853;ZNF852;TRIM33;CCNK;IKZF2;IKZF5;TIAL1;RPS6KA3;RPS6KA5;SOX1;ZNF728;ZNF727;ZNF726;DPF2;EPC1;KAT8;EPC2;KAT7;BTRC;SOX5;ZFP1;ZFP2;EBF1;THAP1;NIF3L1;ZNF718;ZNF717;TFAM;ZFPM2;L3MBTL3;DHX9;MAGED1;TSHZ1;CTR9;ARX;ZBTB1;NLK;MED12L;SEC14L2;ZNF706;DHX36;ZNF703;HIVEP1;HIVEP2;SNX5;XRCC5;SS18L1;SMARCA5;SMARCA2;POLA1;ZBTB6;FUBP3;CREBRF;RBAK;RCOR3;SUV39H2;CSRNP2;NKAP;HNF4G;RSF1;PTPRK;MEOX2;AATF;PPP3CB;SCML1;CHMP1A;GABPA;HTATIP2;NCOA1;NCOA2;ATMIN;TFE3;RHOG;RGMB;ZHX1;ZFX;MLF1;SUPT3H;SLTM;WAC;ZNF780B;MAPRE3;ZNF780A;YAP1;ZNF8;RELA;MNT;HSF2;METTL4;FAM47E;GPBP1L1;HSF5;ZNF585B;HDX;ZNF585A;PURG;MAP3K2;NFYA;NFYB;GRHL1;PER2;NR6A1;CAMK4;HDGF;MPHOSPH8;ZNF354C;ZFP28;KDM1A;PRDM5;ARID4A;ARID4B;NR3C1;CARF;EP300;FBXW11;ZNF99;POU3F1;POU3F2;POU3F3;ZNF92;PSPC1;TBL1XR1;UBE2V1;HOMEZ;TAF5L;SMAD2;SMAD4;UBE2I;CBX5;NONO;HMGA2;NFXL1;SUPT5H;SMAD5;DAP;GCLC;MRGBP;BHLHE40;RFXAP;PHF14;BRWD1;BRWD3;MXD4;PHF19;PICALM;KDM5A;CREBZF;THRA;HP1BP3;CHD7;NR2E1;YBX1;CHD2;DBP;SIX4;SFR1;SIX5;TRPS1;MYBL1;TGIF1;TSFM;USP47;RBM15;KLF13;EED;ETV1;ARID1B;KLF15;TGFBR1;ELF1;SFPQ;CREB1;CRY1;ZMYND11;CAMK2D;HLF;ATF6B;ZNF195;DBX2;TGFBRAP1;WIZ;RNF6;NR2C2;ERBB4;SAP30L;MXI1;ZNF189;ATF7IP;KDM4C;ZNF181;ZNF180;DEK;USF2;ACVR2B;MEIS2;REST;NUP35;TAF7;NAA16;SSBP2
GO_Biological_Process_2021,cellular protein modification process (GO:0006464),269/1025,4.979949518218186e-12,1.2967788545440156e-08,0,0,1.686432316423242,43.8904151909681,PGAP1;TP53RK;KEAP1;ZDHHC6;PPP2R2A;DCAF5;DCAF6;PPP4R1;TBK1;RPS6KA5;PPP4R2;PPP2R1B;AKT3;FBXO4;PSMD1;BTRC;SEPHS1;SKP2;PRKACB;FBXO7;FBXO9;ATG3;PRKCI;WSB1;COG7;CSNK2A1;ALG5;COG3;ATG10;P3H1;PRKAB1;PSME3;PSME4;SIK3;SPARCL1;PRKD1;SIK2;TRIB2;MTMR2;MTMR3;RPN2;SDC2;DCUN1D3;PIK3R4;DCUN1D1;NLK;HIF1A;STK38L;ATG5;CDK17;B3GALNT1;NUS1;YES1;EIF2AK3;BRAF;EIF2AK4;PPP5C;WNK1;WNK3;FBXL3;FBXL5;CDK13;FBXL4;CDK14;FBXL7;PIGS;PIGT;PTPRM;CHM;PTPRK;HIF3A;PPP3CB;SERP1;UBXN7;QSOX1;JAK2;RAB8A;JAK1;PARP1;FN3KRP;SIRT5;SIRT7;DUSP9;SIRT1;DUSP6;SUMF1;DDB1;B3GNT9;PSMA1;PSMA2;PIGK;RARA;FAM20B;B3GNT2;VWA1;SGK3;PIGH;RNASEL;FSTL1;PSMB7;PPP2CB;PGGT1B;MGAT1;AGA;MAP4K5;PAK2;MAP4K3;MAP3K1;CSNK1A1;RYK;KLHL2;KLHL9;PSMC6;KLHL5;TAOK1;STK17B;CAMK4;PSMC2;TAOK2;PKN2;FRK;NEK11;ERO1A;CSF1;UBE2D3;PLOD2;FBXO21;NRBP2;PPP1CC;PTAR1;CDH2;FNTB;NEK1;MACROD2;MAP3K5;MEN1;TPTE2;RAB2A;CDKL3;CSNK1G3;MAP2K1;FBXW11;DYRK1A;FBXO15;UBE2E2;ADAM10;DYRK1B;FBXO11;PDIA6;KCTD6;KLHL42;SCG3;TNIK;CDKL1;CUL7;PSMD11;PSMD14;CUL5;PSMD13;TNKS;CUL3;CUL2;KLHL13;STK4;MTM1;GRK3;BTBD1;STK36;OARD1;MAN2A1;GRK7;GRK6;MAP3K20;SOCS6;SOCS5;MARK1;UBE2I;NEK4;WFS1;RHBDD1;NEK7;TMEM132A;FBXO30;CDK8;COPS3;TBCK;FER;COPS5;CDK4;STT3A;UBA3;CPE;MELTF;STT3B;BMPR1B;RAB5A;MAP3K12;GSK3B;DYRK3;DYRK2;LRRK2;NGLY1;PTEN;LAMC1;DUSP16;DUSP11;DUSP12;DUSP10;PPP2R5E;TLK2;WDR5;TLK1;PRKG1;PPP1R12A;CHUK;PDPK1;DDOST;TGFBR1;DNAJC3;PPM1A;PPM1B;RCN1;CREB1;LATS2;PEAK1;BMP2K;BIRC6;PIK3C3;RAB1A;PRKAA1;CAMK2D;PRKAA2;PPM1L;ROCK1;PPM1M;ROCK2;DCAF16;DCAF17;MAPK8;ACVR1C;CAND1;PTPRZ1;TNKS2;MAPK1;CSK;RBBP7;DCAF11;MAPK6;DCAF13;PTPN1;ATE1;USP25;LAMB2;HS3ST5;CDC42BPA;PTPN13;ACVR2B;ACVR2A;MAPK10;ASB8;MGAT4A;ASB7;ASB4;P4HB;ASB3;METAP1;ASB1;CUL4B;METAP2
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",292/1183,8.625176641976417e-10,1.4973306650471065e-06,0,0,1.550663503755188,32.36415460153136,ATF2;CCNK;ZNF175;MAML2;GPATCH3;RBPJ;GABPB1;DCAF6;ELK4;RPS6KA3;TBK1;RPS6KA5;SOX1;CREB3L2;DPF2;EPC1;KAT8;KAT7;BTRC;MEF2A;DDX17;ZNF281;RFX3;WDR75;SOX12;MED4;MED6;HCFC1;NIF3L1;RFX4;RFX5;TFAM;PRKD1;ZFPM2;ATF6;CLOCK;ASF1A;ZNF395;DHX9;PIK3R1;ZNF24;HIF1A;SEC14L2;MYO6;DHX36;HIVEP1;FADD;ZNF268;SNX5;ZBED3;CREBBP;FZD5;SS18L1;EIF2AK3;NR2F1;SMARCA5;NR1D2;NR1D1;SMARCA2;COL1A1;MLLT10;FUBP3;HNRNPD;CREBRF;FANK1;CD40;CSRNP2;HNF4G;RSF1;EFCAB7;AATF;GLI1;MEOX2;ING1;MED17;MED12;ING5;MED14;PPP3CB;MED13;HEY1;NKRF;MED10;SPIN1;GABPA;HTATIP2;NCOA1;SS18;NCOA2;ATMIN;PARP1;TCF12;TFE3;TET2;RHOG;PAX6;SIRT7;RGMB;SIRT1;SUPT3H;MED21;MTF2;RARA;WAC;RARB;MAPRE3;PLCB1;RHOQ;TLR3;PRKN;YAP1;RNASEL;TMF1;EGFR;RELA;BCLAF1;SCAF8;SERTAD2;PLAGL1;HSF2;STAT6;BRD7;MEF2D;MAP3K2;ZNF462;IL33;WWOX;CDKN2B;NFYA;PCGF5;NFYB;GTF2H1;GRHL1;AGT;RYBP;NFIA;CAMK4;TCEA1;F2RL1;ZNF451;CCNT2;KDM1A;CD81;ICE2;UBP1;RORA;YEATS4;NR3C1;YY1;YY2;HMGN5;SALL1;EP300;MAP3K5;HMGN1;MEN1;KCNH2;SLC30A9;MAP2K1;FBXW11;HGF;F2R;DYRK1A;DYRK1B;MITF;POU3F1;POU3F2;ILF2;POU3F3;LBHD1;TBL1XR1;KAT6A;PHIP;UBE2V1;KMT2E;ENY2;TNKS;KMT2C;GLIS3;CREBL2;FOXO3;FOXO1;GLIS2;NPAS3;DVL2;DVL3;ZNF304;NDP;MAP2K5;BCL9L;ESRRA;SMAD2;ZBTB17;SMAD4;BRPF1;NEK4;HMGA2;GLMP;SUPT5H;SMAD5;NFKB1;BCL9;CDK8;COPS5;LHX2;SP3;BCL3;TADA3;RFXAP;BMPR1B;OGT;NFE2L2;PICALM;MAP3K12;KDM5A;RNF10;CALCOCO1;DDX3X;THRB;THRA;RNF14;YBX1;MYSM1;DBP;SFR1;SIX4;ZNF407;CEP290;YAF2;MYBL1;NCK1;ACTR3;UTP15;RBM14;PPP1R12A;CHUK;ATRX;CKAP2;ABHD14B;VEZF1;ETV1;ARID1B;KLF15;TGFBR1;SENP1;PPM1A;ELF1;SFPQ;CREB1;ZNF639;TRAF6;ZNF516;ITGA6;NFAT5;SMARCD1;HDAC2;NUFIP1;HLF;ATF6B;PLAG1;SRF;CEBPG;MOSPD1;RNF6;MLLT3;NR2C2;MLLT6;ATAD2B;ZNF507;ERBB4;TP53INP1;NRIP1;ZNF746;E2F3;E2F5;E2F7;ATF7IP;SPAG8;CNBP;CDC5L;USF2;MEIS2;ACVR2A;REST;TAF7;NAA16;CEBPZ;PAXBP1;SSBP2;PFKM;LPIN2;CCDC62
GO_Biological_Process_2021,regulation of cellular macromolecule biosynthetic process (GO:2000112),136/468,1.3388128294736512e-09,1.7431343039746938e-06,0,0,1.9169273780203688,39.165668300135415,RB1;ATF2;NAB1;GMNN;RORA;SMC3;NR3C1;BACH1;EFEMP1;HMGN5;RPS6KA5;SOX1;ZNF727;GPBP1;EP300;SLC39A8;KAT7;ZNF682;ZNF284;ZNF680;ZNF281;RFX3;MITF;SOX12;HCFC2;HCFC1;SAP30;THAP1;ZNF718;ZNF92;DMTF1;PSPC1;RABL3;ATF7;ZNF678;UBE2V1;ZNF676;CLOCK;ANKRD17;ZNF395;MAGED1;CTR9;CREM;ZNF22;CREBL2;AKAP17A;FOXO3;NLK;HIF1A;TAF5L;ORC5;ORC3;ZNF703;DVL2;ZNF268;ESRRA;TRAPPC2;CREBBP;NONO;PCIF1;HMGA2;NFXL1;NR1D2;ZNF35;FOXN2;SMARCA2;PUM3;CCDC88A;SP3;BHLHE40;HNRNPD;RBAK;ZNF257;PHF19;ZNF253;ZNF492;RNF14;SPIN3;CHD7;HP1BP3;YBX1;ZNF280D;ZNF280B;ZNF280C;SPIN1;HMG20A;ERC1;YAF2;MYBL1;NCOA2;ACTR5;ATRX;ACTR8;REXO4;MLF1;SUPT3H;TGFBR1;GCFC2;SFPQ;MTF2;ZNF516;ZNF117;ZNF195;PLAG1;DDX25;TGFBRAP1;RNF6;SPTY2D1;NR2C2;RELA;MLLT6;ZNF506;SAP30L;ATXN1L;ZNF626;RBBP6;GPBP1L1;SRSF10;EIF4E;ZNF100;NFYA;NFYB;CNBP;ACVR2B;ZNF33A;REST;RYBP;NFIA;ZNF737;ZNF219;ZNF74;ZNF736;ZNF217;NUP35;SSBP2;METAP1
GO_Biological_Process_2021,organelle organization (GO:0006996),124/420,2.502585158649333e-09,2.606692701249145e-06,0,0,1.957908792594391,38.77822715704164,ROPN1B;USP6NL;UBXN2B;PITPNB;FNBP1L;GABPB1;LONP2;MTERF1;KIFAP3;RAB2A;PRKCI;AGTPBP1;COG7;STX7;COG3;COG2;GOLPH3L;LIG4;HCFC1;RAB32;ARMC2;TMEM135;ZFYVE16;ZW10;YME1L1;TFAM;PHIP;WDPCP;PRKD1;TNIK;FAM161B;BLZF1;PPID;CUL7;SAR1A;SAR1B;PEX11A;PEX11B;ARL1;TOR1AIP2;STRIP1;ARHGAP21;RHOT1;BAG5;ATXN7;DYM;NDP;PDZD8;SEC31B;CEP78;SEC31A;MARK1;ESRRA;HACE1;TOR1A;EIF2AK3;TRAPPC8;DIAPH1;REEP5;TMEM11;TMCC1;BRWD1;BRWD3;DYRK3;ALAS1;ABCD3;MAST4;LRRK2;TFB1M;TTC29;SYNE3;SEC61A1;OPA1;ZMYM4;CHMP1A;ZMYM6;TMED3;ATP7A;DNM1L;GABPA;TMED4;TMED9;CLUH;PDCD6IP;PARP1;VPS13C;SIRT5;PRPF40A;PEX2;PEX7;GORASP2;PEX3;MTFR1;RHOU;CHMP6;CHMP7;PRKN;RAB1A;STX17;VPS4B;AFG1L;MIEF2;FITM2;FGD4;LMAN1;EPS15;LNPK;CLASP1;ARFGEF1;YTHDF2;PTCD2;CSNK1A1;MTX2;HUWE1;PEX10;LYSMD3;TTC17;VMP1;FMNL3;GOLPH3;PIKFYVE;TRIP11;SLC25A36;RAB3GAP1
GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",89/274,3.111292618479916e-09,2.700601992840567e-06,0,0,2.241180939976121,43.90076226469901,ISY1;DBR1;GEMIN2;HNRNPR;WDR83;YBX1;CWC27;USP39;ELAVL1;COIL;SYNCRIP;PTBP1;METTL14;SART3;PCF11;RSRC1;MAGOH;RAVER2;CWC22;DHX15;PAPOLA;RBM5;DDX17;SRRM2;RBM17;AQR;RBM14;RBM15;NCBP1;SCAF11;PRPF40A;PLRG1;CRNKL1;GTF2F2;SRRM1;WDR77;WDR33;GCFC2;SFPQ;PSPC1;CLNS1A;GEMIN6;SNRPA1;GEMIN8;SNRNP200;SNRPA;RBM22;ZCCHC8;SF3B2;DHX9;CSTF3;DDX1;PRCC;SRSF1;WBP4;CWF19L2;U2AF1;FIP1L1;POLR2B;DHX35;TRA2A;CSTF1;DHX38;SYMPK;SF3B1;SRSF10;SMNDC1;SRSF11;HNRNPA0;ZRSR2;CPSF7;PRPF38A;NONO;CPSF2;CDC5L;MAGOHB;LSM5;CHERP;SMU1;LSM8;SNRNP40;LSM6;NOVA1;HNRNPA2B1;HNRNPD;RBM41;HNRNPC;CDK13;PPIL3
GO_Biological_Process_2021,protein ubiquitination (GO:0016567),146/525,8.50664325229695e-09,6.328942579708931e-06,0,0,1.8026563741977284,33.49771501212762,UBE3D;UBE2D3;FBXO25;UBE2D1;KEAP1;UBE3A;FBXO21;NPEPPS;CDC23;CDC27;FBXO4;TRIM24;PSMD1;BTRC;SKP2;FBXO7;FBXO9;ATG3;RNF43;WSB1;NHLRC3;ANAPC7;FBXW11;UBE2E3;RC3H1;FBXO15;MUL1;UBE2E2;FBXO11;RNF41;KLHL42;KCTD10;PSME3;PSME4;KCTD13;RBCK1;UBE2V1;CBLL1;CUL7;PSMD11;CUL5;PSMD14;TNKS;PSMD13;UBA6;CUL3;CUL2;CTR9;NEDD4L;UBR3;UBR2;KLHL12;KLHL13;UBE2J2;HIF1A;UBE2J1;RNF217;UBR5;HLTF;LONRF1;UBE2H;HACE1;UBE2B;FANCL;SMURF1;SIAH1;LNPEP;KLHL24;UBE2A;FBXO30;CNOT4;BCL2;MKRN2;TPP2;FBXL3;FBXL5;FBXL4;UBE2K;DZIP3;RAD18;FBXL7;NFE2L2;RNF10;RNF13;RNF14;HIF3A;CDC73;UBE2Q2;TRIM69;SHPRH;AKTIP;MSL2;PEX2;SIRT1;TOPORS;DDB1;RNF144B;PSMA1;PSMA2;TRAF6;PELI1;WAC;BIRC6;PDZRN3;THOP1;BIRC2;PRKN;DERL1;RNF6;CBL;RNFT1;PSMB7;ZNRF3;CAND1;RMND5A;RNF139;HECTD2;OS9;TNKS2;RNF138;RBBP6;SASH1;ANKIB1;CRBN;USP9X;AMFR;FBXL17;HUWE1;WWP1;KLHL2;PEX10;UBE2G1;MIB1;KLHL9;PSMC6;KLHL7;PSMC2;KLHL8;OTULIN;RLIM;TRIP12;ASB4;TRIM32;TRIM33;CUL4B;ASB1
GO_Biological_Process_2021,regulation of nucleic acid-templated transcription (GO:1903506),124/430,1.1676832172115441e-08,7.601617744047152e-06,0,0,1.8927506093715376,34.57233741949235,RB1;ATF2;NAB1;RORA;NR3C1;BACH1;EFEMP1;HMGN5;RPS6KA5;SOX1;ZNF727;GPBP1;EP300;SLC39A8;KAT7;ZNF682;ZNF284;ZNF680;ZNF281;RFX3;MITF;SOX12;ACTN4;HCFC2;HCFC1;SAP30;THAP1;NIF3L1;ZNF718;ZNF92;DMTF1;PSPC1;ATF7;ZNF678;UBE2V1;ZNF676;CLOCK;ZNF395;MAGED1;CTR9;CREM;ZNF22;CREBL2;AKAP17A;NLK;HIF1A;TAF5L;ZNF703;DVL2;ZNF268;ESRRA;TRAPPC2;CREBBP;NONO;HMGA2;NFXL1;NR1D2;ZNF35;FOXN2;SMARCA2;SP3;BHLHE40;HNRNPD;RBAK;ZNF257;PHF19;ZNF253;ZNF492;RNF14;SPIN3;CHD7;HP1BP3;YBX1;ZNF280D;ZNF280B;ZNF280C;SPIN1;HMG20A;ERC1;YAF2;MYBL1;NCOA2;ACTR5;ATRX;ACTR8;REXO4;MLF1;SUPT3H;TGFBR1;GCFC2;SFPQ;MTF2;ZNF516;ZNF117;ZNF195;PLAG1;TGFBRAP1;RNF6;SPTY2D1;NR2C2;RELA;MLLT6;ZNF506;SAP30L;ATXN1L;ZNF626;GPBP1L1;SRSF10;ZNF100;NFYA;NFYB;CNBP;ACVR2B;ZNF33A;REST;RYBP;NFIA;ZNF737;ZNF219;ZNF74;ZNF736;ZNF217;NUP35;SSBP2
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",80/251,4.842210361587581e-08,2.1566674268299645e-05,0,0,2.175739778631127,36.64665835500084,ISY1;DBR1;HNRNPR;WDR83;YBX1;CWC27;USP39;ELAVL1;SYNCRIP;PTBP1;METTL14;SART3;PCF11;RSRC1;MAGOH;RAVER2;CWC22;DHX15;PAPOLA;RBM5;SRRM2;RBM17;AQR;RBM14;RBM15;NCBP1;PRPF40A;PLRG1;CRNKL1;GTF2F2;SRRM1;WDR33;GCFC2;SFPQ;PSPC1;GEMIN6;SNRPA1;SNRNP200;SNRPA;RBM22;ZCCHC8;SF3B2;DHX9;CSTF3;PRCC;SRSF1;WBP4;CWF19L2;U2AF1;FIP1L1;POLR2B;DHX35;TRA2A;CSTF1;DHX38;SYMPK;SF3B1;SRSF10;SMNDC1;SRSF11;HNRNPA0;ZRSR2;CPSF7;PRPF38A;NONO;CPSF2;CDC5L;MAGOHB;LSM5;CHERP;SMU1;LSM8;SNRNP40;LSM6;NOVA1;HNRNPA2B1;HNRNPD;RBM41;HNRNPC;PPIL3
GO_Biological_Process_2021,mRNA processing (GO:0006397),92/300,3.9753060024306555e-08,2.1566674268299645e-05,0,0,2.05940391793105,35.09343519155823,ISY1;DBR1;GEMIN2;HNRNPR;WDR83;YBX1;CWC27;USP39;ELAVL1;SYNCRIP;PTBP1;METTL14;SART3;PCF11;RSRC1;MAGOH;RAVER2;CWC22;DHX15;PAPOLA;CMTR2;RBM5;SRRM2;RBM17;AQR;RBM14;RBM15;NCBP1;SCAF11;PRPF40A;THOC2;PLRG1;CRNKL1;GTF2F2;SRRM1;WDR33;GCFC2;SFPQ;PSPC1;SARNP;GEMIN6;SNRPA1;SNRNP200;SNRPA;RBM22;ZCCHC8;SF3B2;DHX9;RNMT;CSTF3;PRCC;SRSF1;WBP4;CWF19L2;U2AF1;FIP1L1;POLR2B;DHX35;TRA2A;CSTF1;DHX38;SYMPK;RPRD1A;SF3B1;SRSF10;SMNDC1;SRSF11;HNRNPA0;ZRSR2;CPSF7;PRPF38A;CPSF6;RNGTT;NONO;CPSF2;CDC5L;GTF2H1;MAGOHB;LSM5;SUPT5H;CHERP;SMU1;LSM8;SNRNP40;LSM6;NOVA1;HNRNPA2B1;HNRNPD;RBM41;HNRNPC;MNAT1;PPIL3
