Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),28/306,1.4425088637062712e-07,0.00036740700758598727,0,0,3.41002100974088,53.71366813268941,BRSK1;CHRM1;DOC2A;CHRNA4;CPNE6;CPLX1;CAMKK1;HRH3;DVL1;KCNN1;SLC17A7;PRKACA;HCRT;SNCB;GABRD;TSPOAP1;PPFIA3;CHRNB2;KCNIP2;SYN1;GRIN1;CACNB3;DLG4;SNPH;KCNQ2;UNC119;STX1A;SCN2B
GO_Biological_Process_2021,regulation of neuronal synaptic plasticity (GO:0048168),8/29,1.409987977905731e-06,0.0017956196898629,0,0,12.624175824175824,170.07200518297162,SYNGR1;DLG4;NSMF;NCDN;PPFIA3;SHISA7;DBN1;SLC8A2
GO_Biological_Process_2021,protein phosphorylation (GO:0006468),35/496,2.196880628065448e-06,0.0018651516532275,0,0,2.5778073224018225,33.5848907793459,BRSK1;BRSK2;PNCK;PKDCC;MAST3;GMFG;MAST1;PKD1;RPS6KA4;STK11;GRK2;CAMKV;IRAK1;FASTK;CDK20;PAK6;PTK2B;PRKACA;JAK3;PRRT1;LIMK1;LMTK3;MATK;NRBP1;MAPK12;BCKDK;STK25;DGKQ;RPS6KB2;CDK10;PICK1;ULK1;ATP13A2;CAMK1G;CDK16
GO_Biological_Process_2021,neurotransmitter transport (GO:0006836),11/73,9.536654236790316e-06,0.0060724645852762,0,0,5.897212060747146,68.17394067011037,BRSK1;HRH3;SNPH;DVL1;SLC17A7;SLC29A1;CPLX1;TSPOAP1;PPFIA3;SYN1;STX1A
GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916),21/244,1.3396010413961877e-05,0.0068239277048721,0,0,3.1583304587788894,35.43821628021827,CHRNB2;CHRM1;DOC2A;CHRNA4;KCNIP2;CPNE6;CPLX1;SYN1;CAMKK1;GRIN1;CACNB3;HRH3;DLG4;KCNQ2;KCNN1;UNC119;PRKACA;HCRT;SNCB;GABRD;SCN2B
GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),13/109,2.073155696102788e-05,0.0088005459299563,0,0,4.508674568965517,48.620886155693526,CHRNB2;CLSTN3;MAPK8IP2;CPLX1;SYN1;SLC8A2;BAIAP3;STX1B;GRM2;RIMS3;DLG4;NPTXR;HCRT
GO_Biological_Process_2021,signal release from synapse (GO:0099643),8/43,3.30441465666269e-05,0.0120135429286978,0,0,7.569035409035409,78.09478016890515,BRSK1;HRH3;SNPH;DVL1;CPLX1;PPFIA3;SYN1;STX1A
GO_Biological_Process_2021,neurotransmitter secretion (GO:0007269),8/44,3.934847444174567e-05,0.0120135429286978,0,0,7.358404558404558,74.63669002741524,BRSK1;HRH3;SNPH;DVL1;CPLX1;PPFIA3;SYN1;STX1A
GO_Biological_Process_2021,regulation of neurotransmitter secretion (GO:0046928),7/33,4.24506817268474e-05,0.0120135429286978,0,0,8.904371226043581,89.64179737885061,STX1B;RIMS4;RIMS3;HCRT;CPLX1;SYN1;BAIAP3
GO_Biological_Process_2021,regulation of cation channel activity (GO:2001257),11/89,6.382385506637381e-05,0.0149496890358951,0,0,4.683650541897965,45.24117692171687,PRRT1;CACNB3;JPH3;KCNS1;DLG4;HPCA;PTK2B;PRKACA;MAPK8IP2;SHISA7;GRIN1
GO_Biological_Process_2021,peptidyl-serine phosphorylation (GO:0018105),15/156,6.456481326849111e-05,0.0149496890358951,0,0,3.545976588382537,34.21101824996219,BRSK1;MAP2K2;PNCK;MAST3;MAST1;PKD1;MAPK12;RPS6KA4;GRK2;CAMKV;DGKQ;RPS6KB2;ULK1;PRKACA;CAMK1G
GO_Biological_Process_2021,axonogenesis (GO:0007409),19/240,0.00010536331140003822,0.0214366959192661,0,0,2.8736500228609265,26.317162985624563,EPHB6;SEMA6B;SEMA6C;BRSK1;SPTBN5;BRSK2;SEMA7A;UNC5A;MAP1S;LRTM2;SPTB;RAP1GAP;GPC1;ULK1;APBB1;SCN1B;LLGL1;PDLIM7;SPTBN2
GO_Biological_Process_2021,regulation of axonogenesis (GO:0050770),8/51,0.00011783028773840818,0.0214366959192661,0,0,6.158298548996223,55.70960190587991,RTN4R;BRSK1;BRSK2;GDI1;ARHGDIA;CHN1;PLXNA1;PLXNA3
GO_Biological_Process_2021,cellular protein modification process (GO:0006464),52/1025,0.00011553982107277283,0.0214366959192661,0,0,1.82101205753116,16.509104683169223,PRKCSH;GMFG;MPI;MAST1;DCAF8;NAGPA;DDA1;RPS6KA4;STK11;PPP2R1A;PSMD2;FASTK;PSMD3;CDK20;PRKACA;JAK3;DUSP4;PARP3;FBXW5;FBXW9;MATK;LMTK3;SIRT6;DUSP8;FBXO10;NRBP1;VGF;PICK1;ULK1;BRSK1;BRSK2;GPS1;FBXO44;PORCN;GRK2;IRAK1;PAK6;PTK2B;PRRT1;UBL4A;FEM1A;MCRS1;LIMK1;ABCA7;FBXL15;RAB11B;BCKDK;STK25;CDK10;PTPN5;BAP1;CDK16
GO_Biological_Process_2021,proteasomal protein catabolic process (GO:0010498),17/205,0.00013747004584793965,0.0233424137849801,0,0,3.0171671838061465,26.828965931503618,BRSK2;FBXW5;ZFAND2B;AGAP3;ARRB2;PRPF19;FBXO44;BAG6;RNF126;SHARPIN;UBXN11;PSMD2;PSMD3;TRIM3;KCTD17;UBXN6;RNF187
GO_Biological_Process_2021,striated muscle contraction (GO:0006941),8/54,0.00017810094253263684,0.0266837118018015,0,0,5.7557785209959125,49.69055733104702,GRK2;CCDC78;GAA;TNNT2;STAC2;SCN4B;SCN1B;SCN2B
GO_Biological_Process_2021,phosphorylation (GO:0016310),26/400,0.00016853591331920744,0.0266837118018015,0,0,2.333597412028785,20.275138367287127,BRSK1;BRSK2;GMFG;MAST1;RPS6KA4;STK11;GRK2;IRAK1;FASTK;CDK20;PAK6;PTK2B;PRKACA;JAK3;PRRT1;LIMK1;LMTK3;MATK;NRBP1;BCKDK;STK25;DGKQ;CDK10;PICK1;ULK1;CDK16
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),20/274,0.00021008620014274036,0.0272898011781225,0,0,2.6319550370339835,22.28737586820003,KCNJ4;KCNH3;KCNF1;SLC6A17;SLC30A3;KCNC3;KCNAB2;KCNAB3;PKD1;SLC8A2;SLC6A7;KCNS1;SCNN1D;KCNQ2;KCNN1;ASIC3;SCN4B;SCN1B;HCN2;SCN2B
GO_Biological_Process_2021,regulation of amyloid precursor protein biosynthetic process (GO:0042984),4/11,0.0002138174081282378,0.0272898011781225,0,0,18.82124666504972,159.0468396020875,NECAB2;ABCA2;NECAB3;ABCA7
GO_Biological_Process_2021,cardiac muscle cell action potential (GO:0086001),6/30,0.00021428976190123703,0.0272898011781225,0,0,8.25511073253833,69.74067320342105,KCNIP2;SLC4A3;SCN4B;SCN1B;HCN2;SCN2B
GO_Biological_Process_2021,regulation of neurotransmitter receptor activity (GO:0099601),8/58,0.0002957689583258423,0.0358725493740914,0,0,5.294222222222222,43.02048953042272,PRRT1;LYNX1;DLG4;PTK2B;MAPK8IP2;NPTXR;SHISA7;GRIN1
GO_Biological_Process_2021,sodium ion transport (GO:0006814),10/90,0.0003308741482394301,0.0383062025257194,0,0,4.143867924528302,33.208014699892686,SLC5A6;SLC6A7;SLC6A17;SCNN1D;SCN4B;ASIC3;SCN1B;HCN2;SLC8A2;SCN2B
GO_Biological_Process_2021,axon guidance (GO:0007411),16/203,0.00037991914944967295,0.040445917194328,0,0,2.8500727532229213,22.445896435386576,EPHB6;SEMA6B;SEMA6C;SPTBN5;SEMA7A;UNC5A;LRTM2;SPTB;RAP1GAP;GPC1;CHN1;PLXNA1;SCN1B;PDLIM7;SPTBN2;PLXNA3
GO_Biological_Process_2021,regulation of cellular protein localization (GO:1903827),7/46,0.0003811158275083912,0.040445917194328,0,0,5.932265686531898,46.70121122060725,ABCA2;GPC1;DVL1;TRIM46;ATP13A2;KCNAB2;RAB11B
GO_Biological_Process_2021,cardiac muscle contraction (GO:0060048),6/34,0.0004389370522067877,0.043284696160927,0,0,7.074348990021903,54.692885341612325,GRK2;GAA;TNNT2;SCN4B;SCN1B;SCN2B
GO_Biological_Process_2021,regulation of short-term neuronal synaptic plasticity (GO:0048172),4/13,0.00044185398515276966,0.043284696160927,0,0,14.637238256932656,113.06580185271258,SYNGR1;SHISA7;PPFIA3;SLC8A2
