Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of autophagy (GO:0010506),13/231,0.00010093955278322966,0.0743771650532795,0,0,3.755529823936344,34.55458750102865,GSK3A;PLK2;UCHL1;CAPNS1;EEF1A2;PSAP;ATP6V1B2;WDR6;ATP6V1E1;ATP6V0D1;ATP6V0E2;CDK5R1;UBQLN2
GO_Biological_Process_2021,rRNA processing (GO:0006364),11/173,0.00011818405463974505,0.0743771650532795,0,0,4.260966218093763,38.53305673756319,RPL4;NSA2;EIF6;PIH1D1;RPL22;RPS6;RPL37A;TSR3;WDR74;RPL36A;DDX54
GO_Biological_Process_2021,regulation of macroautophagy (GO:0016241),9/112,8.354895634641233e-05,0.0743771650532795,0,0,5.464654610875027,51.31353191545951,SCOC;UCHL1;CAPNS1;ATP6V1B2;ATP6V1E1;ATP6V0D1;ATP6V0E2;UBQLN2;CDK5R1
GO_Biological_Process_2021,intracellular pH reduction (GO:0051452),5/35,0.0002289696418531481,0.0871544821321564,0,0,10.33017875920084,86.58674363417474,ATP6V1B2;TMEM9;ATP6V0E2;ATP6V1E1;ATP6V0D1
GO_Biological_Process_2021,gene expression (GO:0010467),16/356,0.0002308116581889737,0.0871544821321564,0,0,2.973933102652826,24.903443723975705,RPL4;MRPS15;RPL22;RPS6;RPL36A;MRPL28;DDX54;MRPL24;MRPL10;U2AF1L4;DDX39A;EEF1A2;RPL37A;STUB1;POLR2G;PTMA
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),10/162,0.00030426524924457107,0.0957421317622917,0,0,4.1173245614035086,33.34049145089269,RPL4;MRPS15;RPL22;RPS6;EEF1A2;RPL37A;RPL36A;MRPL28;MRPL24;MRPL10
GO_Biological_Process_2021,translation (GO:0006412),11/214,0.0007310245550599803,0.1971677657076061,0,0,3.3932333328053472,24.50275339271792,RPL4;MRPS15;RPL22;RPS6;EEF1A2;RPL37A;RPL36A;MRPL28;MRPS2;MRPL24;MRPL10
GO_Biological_Process_2021,phagosome acidification (GO:0090383),4/28,0.0009950606222770605,0.2136792717400424,0,0,10.30083857442348,71.20667784542512,ATP6V1B2;ATP6V0E2;ATP6V1E1;ATP6V0D1
GO_Biological_Process_2021,negative regulation of cytoskeleton organization (GO:0051494),4/30,0.0012986006909451,0.2136792717400424,0,0,9.507498790517658,63.19128633640498,TWF2;MYADM;FKBP4;SHANK3
GO_Biological_Process_2021,synaptic vesicle cycle (GO:0099504),4/30,0.0012986006909451,0.2136792717400424,0,0,9.507498790517658,63.19128633640498,SNAP25;RAB3A;SNAPIN;SNCA
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),16/417,0.001267995293196,0.2136792717400424,0,0,2.513585317751373,16.766413728777447,RPL4;SLC35A1;MRPS15;RPL22;RPS6;RPL36A;MRPL28;MRPL24;RABGGTA;MRPL10;QPCT;EEF1A2;RPL37A;IGFBP6;B4GALT7;UBE2M
GO_Biological_Process_2021,translational elongation (GO:0006414),7/104,0.0014713085448202,0.2136792717400424,0,0,4.485910652920962,29.255328854551976,MRPS15;EEF1A2;MRPL28;MRPS2;MRPL12;MRPL24;MRPL10
GO_Biological_Process_2021,regulation of neuron projection development (GO:0010975),9/165,0.0014513565180908,0.2136792717400424,0,0,3.598304251658884,23.51584171801177,NDRG4;GSK3A;TWF2;TBR1;RTN4RL2;SERPINI1;FKBP4;SHANK3;CDK5R1
GO_Biological_Process_2021,IRE1-mediated unfolded protein response (GO:0036498),5/53,0.0015985105183023,0.2155705613253398,0,0,6.450446898002103,41.53238284506267,KLHDC3;ACADVL;GSK3A;CXXC1;ATP6V0D1
GO_Biological_Process_2021,regulation of Rac protein signal transduction (GO:0035020),3/16,0.0019816546569408,0.2494242661536243,0,0,14.225946467325778,88.53977421343687,STMN3;GABARAP;ARF6
GO_Biological_Process_2021,cellular macromolecule biosynthetic process (GO:0034645),12/314,0.0051267620389622,0.2842421894080331,0,0,2.4835718863490706,13.096572441827368,RPL4;MRPS15;RPL22;RPS6;EEF1A2;RPL37A;RPL36A;MRPL28;POLR2G;MRPL24;PTMA;MRPL10
GO_Biological_Process_2021,regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070),2/5,0.0025024181272097,0.2842421894080331,0,0,40.989583333333336,245.5480072937292,GSK3A;APLP1
GO_Biological_Process_2021,long-term synaptic depression (GO:0060292),2/7,0.0051440857859947,0.2842421894080331,0,0,24.59125,129.5936156442978,ARF1;PLK2
GO_Biological_Process_2021,neurotransmitter secretion (GO:0007269),4/44,0.005393474044572,0.2842421894080331,0,0,6.175471698113207,32.25180584754619,SNAP25;RAB3A;SNAPIN;SNCA
GO_Biological_Process_2021,ncRNA processing (GO:0034470),9/201,0.0054198722556616,0.2842421894080331,0,0,2.9182308306709266,15.226403491202817,RPL4;PIH1D1;RPL22;RPS6;RPL37A;WDR74;RPL36A;DDX54;TARBP2
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),12/306,0.0041869841904971,0.2842421894080331,0,0,2.5522053982883475,13.97530141176647,FCHSD1;SNAP25;SNAPIN;RAB3A;SLC12A5;PRKAR1A;KIF5A;SLC1A6;NPTX2;GABARAP;NRGN;SNCA
GO_Biological_Process_2021,ribosome biogenesis (GO:0042254),9/192,0.0040292881118424,0.2842421894080331,0,0,3.063164510553606,16.890796266515103,RPL4;EIF6;PIH1D1;RPL22;RPS6;RPL37A;WDR74;RPL36A;DDX54
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),6/93,0.003922888266786,0.2842421894080331,0,0,4.275643823657791,23.691030705662342,RPL4;EIF3I;RPL22;RPS6;RPL37A;RPL36A
GO_Biological_Process_2021,vacuolar acidification (GO:0007035),3/21,0.0044347156285236,0.2842421894080331,0,0,10.27168234064786,55.65497204562456,TMEM9;ATP6V0D1;ATP6V0E2
GO_Biological_Process_2021,pyrimidine nucleotide-sugar transmembrane transport (GO:0090481),2/6,0.0037137499991159,0.2842421894080331,0,0,30.740625,172.01571898072729,SLC35A2;SLC35A1
GO_Biological_Process_2021,negative regulation of protein kinase activity (GO:0006469),6/90,0.0033348622593041,0.2842421894080331,0,0,4.4290235081374325,25.26015563659291,CAMK2N1;CAMK2N2;DUSP26;YWHAG;TARBP2;SNCA
GO_Biological_Process_2021,negative regulation of kinase activity (GO:0033673),5/62,0.0032053470385373,0.2842421894080331,0,0,5.429464829265593,31.18106313295721,CAMK2N1;CAMK2N2;YWHAG;TARBP2;SNCA
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),6/89,0.0031542850555378,0.2842421894080331,0,0,4.482614000305017,25.815344511853635,MRPS15;MRPS2;MRPL28;MRPL12;MRPL24;MRPL10
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),6/89,0.0031542850555378,0.2842421894080331,0,0,4.482614000305017,25.815344511853635,MRPS15;MRPS2;MRPL28;MRPL12;MRPL24;MRPL10
