Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),48/306,7.207291607313991e-18,1.909211546777476e-14,0,0,5.242101636520241,206.91329202688257,GABRB3;CHRM2;GRIA1;GABRB2;CHRM3;NLGN1;KCNA1;GRIK3;CACNA1B;CACNA1A;GRIK1;GRIK2;HTR4;CACNA1E;CDH8;GRIN2A;GLRA2;GRM5;GRM4;GRM7;HRH2;KCNMB4;DLGAP1;ASIC2;ERC2;DLGAP2;NTSR1;GRIA3;UNC13C;GABBR2;GRID2;UNC13A;PTPRN2;HOMER1;GABRA6;HTR1E;GAD2;SYN3;GABRG3;GRIN2B;SYN2;HCRTR2;RIT2;CACNB4;RIMBP2;AMPH;APBA3;CBLN2
GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),26/109,1.1116506496771907e-14,1.4723812854974394e-11,0,0,8.626367737809199,277.1681742680052,NLGN1;MCTP1;CLSTN2;CACNA1B;GRIK3;CACNA1A;GRIK1;GRIK2;RIMS2;GRM5;GRM4;RELN;GRM7;GRM8;KCNMB4;DLGAP1;DLGAP3;DLGAP2;GRID2;UNC13A;HOMER1;SYN3;SLC8A3;MCTP2;DGKI;CNTNAP4
GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916),38/244,2.6618826177359043e-14,2.3504423514608036e-11,0,0,5.135695556657926,160.52724580288017,GABRB3;CHRM2;GRIA1;GABRB2;CHRM3;NLGN1;KCNA1;CACNA1B;CACNA1A;GRIK1;GRIK2;HTR4;CACNA1E;GRIN2A;GLRA2;GRM5;GRM4;GRM7;HRH2;KCNMB4;DLGAP1;ASIC2;NTSR1;GRIA3;UNC13C;GABBR2;HOMER1;GABRA6;HTR1E;GAD2;GABRG3;GRIN2B;SYN2;HCRTR2;RIT2;CACNB4;AMPH;APBA3
GO_Biological_Process_2021,regulation of cation channel activity (GO:2001257),23/89,6.01183656735828e-14,3.981338766733021e-11,0,0,9.56391774891775,291.1491932201845,GRIA1;NLGN1;HOMER1;KCNAB1;ANK3;OPRM1;SHISA9;JPH1;GRIN2B;GRIN2A;CACNB4;RELN;FGF14;NETO1;LRRC7;NOS1;CACNG2;FGF13;CACNG3;FGF12;CACNG4;GRIA3;SHANK1
GO_Biological_Process_2021,cation transport (GO:0006812),30/174,9.772545396714593e-13,5.17749455117939e-10,0,0,5.751863876863877,159.06221186344973,SLC47A1;KCNA1;KCNA4;LRP2;SLC7A1;SLC8A1;TRPM2;SCN9A;KCNMB2;PIEZO2;KCNMB4;SCN7A;TRPM8;SCN3A;KCNH1;SCN1A;SLC36A1;KCNJ6;TRPC6;KCNB2;KCNAB1;SLC8A3;SLC6A6;SLC7A8;SCN8A;KCNS3;FGF13;SCN2A;SGK1;CNGB1
GO_Biological_Process_2021,axonogenesis (GO:0007409),35/240,2.016526434667614e-12,8.902964209057515e-10,0,0,4.732841747022121,127.45374653374768,ROBO2;SEMA5A;SPTBN4;SEMA5B;SHC3;EPHA10;SH3KBP1;PLPPR4;PTPRO;NRXN3;SEMA3E;RELN;KIF5C;SLITRK3;GRB10;SLIT1;TNR;SLITRK5;SLIT3;EMB;SLIT2;PAK3;EPHA5;EPHA7;DSCAM;DCC;ANK3;UNC5D;GFRA2;SHTN1;DAB1;DOK6;CNTN4;DSCAML1;EPHA3
GO_Biological_Process_2021,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),29/170,3.086281725185147e-12,1.1679371842879222e-09,0,0,5.671142722831974,150.30827339172674,PTPRT;ROBO2;TENM1;NLGN1;TENM3;CDH9;PVR;CDH8;CDH7;CDH6;TRO;SLITRK3;EMB;GPC6;KIRREL3;GRID2;DSCAM;UNC5D;PTPRD;LRFN5;IL1RAPL1;CDH12;PECAM1;CDH13;ADGRL1;CNTN4;DSCAML1;CDH18;CDH19
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),37/274,4.9882627567648494e-12,1.6517385053337607e-09,0,0,4.33307500215276,112.7636553240056,SLC24A2;KCNC2;KCNA1;KCNA4;CACNA1A;CACNA1D;SLC8A1;SLC9A1;TRPM2;SCN9A;SCN7A;TRPM8;ASIC2;SCN3A;SCN1A;KCNH1;SLC36A1;TRPC5;KCNH5;TRPC6;KCNK10;TRPC3;KCNH7;TRPC4;SLC6A15;KCNB2;KCNH8;KCNAB1;SLC8A3;P2RX7;SLC6A6;KCNS3;SCN8A;KCNQ5;SCN2A;KCNK2;HCN1
GO_Biological_Process_2021,axon guidance (GO:0007411),31/203,1.1057545847036128e-11,3.2546043276442996e-09,0,0,4.975929224358112,125.53228488037028,ROBO2;SEMA5A;SPTBN4;SEMA5B;SHC3;EPHA10;SH3KBP1;PTPRO;NRXN3;SEMA3E;RELN;KIF5C;GRB10;SLIT1;TNR;SLIT3;EMB;PLXNC1;SLIT2;PLXNA4;EPHA5;EPHA7;DSCAM;DCC;UNC5D;GFRA2;DAB1;DOK6;CNTN4;DSCAML1;EPHA3
GO_Biological_Process_2021,regulation of neurotransmitter receptor activity (GO:0099601),17/58,1.2604616055052223e-11,3.338962792983334e-09,0,0,11.297312236578456,283.52817088925286,GRIA1;NLGN1;OPRM1;SHISA9;GRIN2B;GRIN2A;RELN;NETO1;LRRC7;DLGAP1;DLGAP3;CACNG2;DLGAP2;CACNG3;CACNG4;GRIA3;SHANK1
