Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Ast2,nucleotide-excision repair (GO:0006289),31/105,5.250917742730427e-05,0.0236441705673833,2.498264102394309,COPS7B;XPC;POLB;POLD3;BRIP1;SLX4;POLR2D;POLR2F;POLL;POLE;RFC5;USP7;RFC4;LIG1;XRCC1;LIG3;FANCC;COMMD1;GTF2H3;DDB2;COPS4;CUL4A;CDK7;ERCC3;UVSSA;ERCC2;PPIE;ERCC8;ERCC5;ERCC6;FAN1
Ast2,double-strand break repair (GO:0006302),43/164,5.2830769092264295e-05,0.0236441705673833,2.122363433020088,MDC1;EXD2;MRE11;AP5Z1;MCM8;MCM9;SMC6;BRCA1;SAMHD1;POLB;ZFYVE26;BRIP1;RECQL5;SLX4;KAT5;CHEK2;UIMC1;RBBP8;TNKS1BP1;POLL;AP5S1;PIAS4;KDM4B;HELQ;POLN;POLM;XRCC3;NSMCE1;RECQL;SETMAR;XRCC1;LIG3;IFFO1;SETX;RNF168;RAD51D;RAD51C;TDP1;RFWD3;NABP1;ATM;ERCC5;FAN1
Ast2,cilium assembly (GO:0060271),71/314,6.171548883843341e-05,0.025142335686006,1.7496636383158688,CEP126;GALNT11;LRGUK;AVIL;CEP19;PTPN23;TXNDC15;PTPDC1;CDC14B;IFT52;PCM1;TCTN2;TCTN1;TEKT1;CNGA4;CFAP43;SNAP29;CDK5RAP2;ABCC4;CFAP52;CEP135;EXOC7;IFT140;DNAAF1;CEP131;KIF24;HAUS3;CSNK1D;HAUS6;CYS1;TMEM80;WDR35;HAUS1;IFT88;CFAP221;RP1;RILPL2;FAM161A;IFT81;TMEM138;EXOC3;CFAP54;SDCCAG8;CCDC40;DYNC1I2;DCTN2;DNAH5;ASAP1;ABLIM1;ABLIM3;PDE6D;TOGARAM1;CEP192;BBS1;GSN;CCDC13;CFAP70;NDE1;RAB3IP;ATAT1;AHI1;IFT22;RSPH1;EHD4;TMEM17;TTLL3;IFT27;CEP162;B9D1;CCDC66;CLUAP1
Ast2,cilium organization (GO:0044782),55/228,6.639251755394658e-05,0.025142335686006,1.9008934747168489,CEP126;GALNT11;AVIL;CEP19;PTPN23;PKD2;TXNDC15;PTPDC1;CDC14B;IFT52;PCM1;TCTN2;TCTN1;TEKT1;CNGA4;CFAP43;SNAP29;ABCC4;CFAP52;EXOC7;IFT140;DNAAF1;CEP131;KIF24;CYS1;WDR35;IQCG;IFT88;CFAP221;RILPL2;FAM161A;IFT81;TMEM138;EXOC3;MNS1;CFAP54;CFAP61;DNAH5;ASAP1;ABLIM1;ABLIM3;PDE6D;BBS1;GSN;CFAP70;RAB3IP;ATAT1;AHI1;EHD4;TMEM17;TTLL3;CEP162;B9D1;CCDC66;CLUAP1
Ast2,nuclear export (GO:0051168),26/84,8.639656402345384e-05,0.030380734620533,2.6711727993445624,POM121;NUP188;POLDIP3;CSE1L;PHAX;CASC3;MALT1;ATXN1;XPO4;POM121C;XPO6;XPO5;CHP1;NUP214;CHTOP;NUP155;NCBP2;STRADA;RANBP17;UPF3B;CDC40;POM121L2;LSG1;DDX39B;RNPS1;SRSF5
Ast2,DNA replication (GO:0006260),31/108,9.430646093849058e-05,0.0309513804800126,2.400506388955812,MRE11;MCM8;MCM9;IGHMBP2;BRCA1;ING4;POLB;BRIP1;RECQL5;KAT5;ORC2;RBBP8;POLL;NT5M;TOPBP1;POLE;POLG;RFC5;WDHD1;TIPIN;RFC4;FAM111A;KIN;POLA2;POLG2;MCM3;RAD17;ATM;RAD1;MCM6;ATR
Ast2,histone lysine demethylation (GO:0070076),12/26,0.00010724459438884682,0.0329978211360183,5.095767931651102,KDM5B;PHF2;KDM3A;KDM5C;KDM4B;KDM5D;KDM2B;KDM1B;KDM8;JMJD1C;UTY;PHF8
Ast2,regulation of generation of precursor metabolites and energy (GO:0043467),18/50,0.0001236003363904917,0.0357932032970818,3.347560975609756,NDC1;NUP214;NUP205;POM121;TIGAR;NUP107;NUP188;NUP133;NUP210;NUP155;PRKAG1;PRKAG2;AAAS;POM121C;NOA1;PRDM16;NUP88;NUP98
Ast2,ncRNA export from nucleus (GO:0097064),15/38,0.00013628337179724277,0.0372735021865459,3.879220327184128,NDC1;NUP214;NUP205;POM121;NUP107;NUP188;NUP133;NUP155;NUP210;NCBP2;PHAX;AAAS;POM121C;NUP88;NUP98
Ast2,mRNA processing (GO:0006397),67/300,0.00014409079963601198,0.0373346845583203,1.7205310264980762,DDX46;PDCD7;CELF1;GPATCH1;PPWD1;CASC3;PNN;RBM4;RBMX2;DHX16;SNIP1;SNRPD3;SNRNP35;CMTR1;CTNNBL1;NCBP2;METTL3;RBM19;TFIP11;CDC40;ERN1;KIN;PRPF4;PRPF18;PRPF6;DDX39B;PPIE;PPIH;PABPC1;SRSF5;SF1;SF3B3;DHX8;POLDIP3;CSTF2;SRRT;RNPC3;PRPF8;ZMAT5;POLR2D;POLR2F;RPRD1B;RALY;RBM10;SF3A3;SPEN;SF3A1;CHTOP;PPIL1;FUS;UPF3B;RPRD2;GTF2H3;U2SURP;HNRNPL;HNRNPM;CDK7;SNW1;PHF5A;SON;ERCC3;MFAP1;ERCC2;RNPS1;BUD13;SNRNP48;RBMX
