Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Ast3,stimulatory C-type lectin receptor signaling pathway (GO:0002223),17/115,5.15164814883033e-05,0.001606332956121,3.3644165358451072,PSMD10;BCL10;PSMA7;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;PSME1;PSME2;SKP1
Ast3,positive regulation of viral process (GO:0048524),12/63,5.316375582891363e-05,0.0016420578923005,4.551500600240096,CDK9;CNOT7;POLR2C;SUPT4H1;RAD23A;POLR2H;KPNA2;POLR2I;PPIA;POLR2J;POLR2K;POLR2L
Ast3,transcription-coupled nucleotide-excision repair (GO:0006283),13/73,5.493713009400207e-05,0.0016809734946519,4.193462717058223,PCNA;GTF2H5;RBX1;UBB;POLR2C;POLR2H;POLR2I;RPS27A;COPS8;UBA52;POLR2J;POLR2K;POLR2L
Ast3,positive regulation of Wnt signaling pathway (GO:0030177),20/153,7.078843817306315e-05,0.0021459383942463,2.920108914260961,PSMD10;CSNK1E;CCAR2;PSMA7;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;SFRP2;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;GID8;PSME1;PSME2;PIN1
Ast3,innate immune response activating cell surface receptor signaling pathway (GO:0002220),17/119,7.993351588334103e-05,0.0024009388165326,3.231794871794872,PSMD10;BCL10;PSMA7;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;PSME1;PSME2;SKP1
Ast3,cellular response to tumor necrosis factor (GO:0071356),23/194,9.788678759605446e-05,0.0029134667508134,2.614686871978708,PSMD10;EIF5A;TNFSF12;CIB1;PSMA7;TXNDC17;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;HYAL2;TMSB4X;PSMB1;PSME1;AKT1;PSME2;CACTIN
Ast3,MAPK cascade (GO:0000165),31/303,0.00011417230694584304,0.0033675687652314,2.222011385199241,PSMD10;YWHAE;PEBP1;ARL2;PSMA7;PSMD8;PSMB6;PPP1CB;PSMB4;PSMB5;PSMB2;UBB;PABPN1;PSMB3;PSMB1;SOX9;RPS27A;SKP1;FRS3;MT3;RBX1;PSMA5;PSMC5;PSMA4;PSMC4;PSME1;PSME2;LAMTOR2;KBTBD7;UBA52;RGL2
Ast3,cellular response to chemical stress (GO:0062197),15/101,0.0001326739380208654,0.0038708092288182,3.3780438456594704,GPX1;GSTP1;HTRA2;SLC4A11;PYCR2;PARK7;MT3;SOD1;PRDX3;PRDX2;CHCHD2;PRDX5;PRDX1;PPIA;ATF4
Ast3,"DNA-templated transcription, elongation (GO:0006354)",12/69,0.00013359848590606654,0.0038708092288182,4.07110633727175,CDK9;POLR2C;SUPT4H1;TCEA2;ELOB;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;GTF2H5;POLR2L
Ast3,gluconeogenesis (GO:0006094),9/41,0.00014598082132190066,0.0041924667456833,5.429298067141404,CRTC2;RBP4;TPI1;MDH1;MDH2;PGAM1;ALDOA;GAPDH;ATF4
Ast3,protein deubiquitination (GO:0016579),28/267,0.00015858693473843696,0.0045149010811621,2.2809944617094047,PSMD10;INO80B;NEDD8;ACTB;PSMA7;USP19;PSMD8;PSMB6;PSMB4;PSMB5;PSMB2;UBB;PSMB3;PSMB1;RPS27A;TAF10;RAD23A;UCHL3;PSMA5;CCNA2;KAT2A;PSMC5;PSMA4;PSMC4;PSME1;PSME2;UBA52;OTUD1
Ast3,negative regulation of amyloid fibril formation (GO:1905907),5/12,0.00017567943680552218,0.0048333989588342,13.750904617166016,PFDN2;PFDN4;CRYAB;PFDN5;PFDN6
Ast3,negative regulation of release of sequestered calcium ion into cytosol (GO:0051280),5/12,0.00017567943680552218,0.0048333989588342,13.750904617166016,FKBP1A;GSTO1;FKBP1B;SRI;CALM2
Ast3,negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315),5/12,0.00017567943680552218,0.0048333989588342,13.750904617166016,FKBP1A;GSTO1;FKBP1B;SRI;CALM2
Ast3,protein insertion into mitochondrial inner membrane (GO:0045039),5/12,0.00017567943680552218,0.0048333989588342,13.750904617166016,TIMM8B;NDUFA13;TIMM13;ROMO1;TIMM10
Ast3,modulation by symbiont of host defense response (GO:0052031),4/7,0.00018664810184866024,0.0050502965739877,25.647773279352226,UBB;RPS27A;B2M;UBA52
Ast3,response to host defenses (GO:0052200),4/7,0.00018664810184866024,0.0050502965739877,25.647773279352226,UBB;RPS27A;B2M;UBA52
Ast3,negative regulation of canonical Wnt signaling pathway (GO:0090090),20/165,0.00020185708769620333,0.0054170500419456,2.6767418759755923,PSMD10;MESP1;PSMA7;RBX1;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;SFRP2;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;PSME1;PSME2;SOX9;PFDN5
Ast3,negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051),7/26,0.0002072213328926355,0.0054275411511239,7.102484637990917,RPL5;GABARAPL2;PDCL3;F8A1;RPS7;RPL23;RPL11
Ast3,nucleotide-excision repair (GO:0006289),15/105,0.0002064071773215408,0.0054275411511239,3.227226202661208,GTF2H2C;PCNA;RAD23A;GTF2H5;RBX1;UBB;POLR2C;POLR2H;COPS8;POLR2I;RPS27A;UBA52;POLR2J;POLR2K;POLR2L
Ast3,maturation of LSU-rRNA (GO:0000470),7/26,0.0002072213328926355,0.0054275411511239,7.102484637990917,RPL7A;ZNHIT3;NHP2;RPL35;SNU13;RPL10A;RPL7
Ast3,glucose metabolic process (GO:0006006),11/62,0.00021001132344186695,0.005456960896418,4.1679558673622354,CRTC2;RBP4;TPI1;MDH1;MDH2;DCXR;PGAM1;APOD;ALDOA;GAPDH;ATF4
Ast3,protein polyubiquitination (GO:0000209),31/314,0.00021704559322128285,0.0055953328520195,2.1343896044682547,PSMD10;RNF5;PSMA7;FBXL22;ANAPC11;PSMD8;PSMB6;PSMB4;PSMB5;PSMB2;UBB;PSMB3;PSMB1;RPS27A;SKP1;FBXO2;IRF2BP1;SYVN1;RBX1;PSMA5;UBE2W;PSMC5;CDC34;PSMA4;PSMC4;UBE2T;PSME1;PSME2;KBTBD7;UBA52;ANAPC2
Ast3,endoplasmic reticulum mannose trimming (GO:1904380),6/19,0.00022783275945508803,0.0057823601120616,8.891402714932127,RNF103;UBB;SYVN1;RPS27A;RNF5;UBA52
Ast3,negative regulation of RNA splicing (GO:0033119),6/19,0.00022783275945508803,0.0057823601120616,8.891402714932127,RPS26;C1QBP;SAP18;SRSF6;RPS13;SRSF9
Ast3,hexose biosynthetic process (GO:0019319),9/44,0.0002584573422237747,0.0065091487572356,4.963144891730853,CRTC2;RBP4;TPI1;MDH1;MDH2;PGAM1;ALDOA;GAPDH;ATF4
Ast3,cellular response to amino acid starvation (GO:0034198),12/74,0.0002649128158934367,0.0066207981621,3.741803818301514,ATP6V0B;ATP6V1G1;RRAGA;CEBPB;ATP6V1G2;NPRL2;CASTOR1;LAMTOR2;LAMTOR4;ATF4;ATP6V1F;LAMTOR5
Ast3,purine nucleotide catabolic process (GO:0006195),5/13,0.0002738366901233646,0.0067919797232113,12.031408308004051,NT5C;HINT1;GPX1;NUDT15;DNPH1
Ast3,negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),11/64,0.0002806898827264064,0.0068751640404471,4.010251379993461,NDUFA13;SFRP2;NDUFS3;SYVN1;SNAI1;AKT1;HTRA2;HYOU1;PARK7;PPIA;CCAR2
Ast3,regulation of proteasomal protein catabolic process (GO:0061136),10/54,0.00028139034252288187,0.0068751640404471,4.389002036659877,GABARAPL2;F8A1;PSMC5;GPX1;UBB;PSME1;PSME2;RAD23A;NUDT15;USP19
Ast3,response to amino acid starvation (GO:1990928),12/75,0.0003013617730617631,0.0073085810741052,3.682215743440233,ATP6V0B;ATP6V1G1;RRAGA;CEBPB;ATP6V1G2;NPRL2;CASTOR1;LAMTOR2;LAMTOR4;ATF4;ATP6V1F;LAMTOR5
Ast3,protein insertion into ER membrane (GO:0045048),8/37,0.00038016729035696167,0.0091519684457992,5.32071768993552,PRNP;WDR83OS;SEC61G;EMC4;EMC6;SEC61B;EMC7;EMC9
Ast3,protein maturation by iron-sulfur cluster transfer (GO:0097428),5/14,0.0004086182369329855,0.0097650810782379,10.69402228976697,ISCA2;ISCA1;GLRX5;MAGEF1;CISD3
Ast3,transcription elongation from RNA polymerase II promoter (GO:0006368),11/67,0.0004236354259181153,0.0100505969888109,3.794815785641474,CDK9;POLR2C;SUPT4H1;ELOB;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;GTF2H5;POLR2L
Ast3,hydrogen peroxide metabolic process (GO:0042743),7/29,0.00043164424130617374,0.0101669298276,6.132994923857868,PRDX3;PRDX2;PRDX5;GPX1;PRDX1;PARK7;SOD1
Ast3,negative regulation of proteasomal protein catabolic process (GO:1901799),8/38,0.0004608393089609957,0.0107770564109878,5.143089430894309,SDCBP;GABARAPL2;F8A1;UBXN1;RPL11;TAF9;PARK7;CCAR2
Ast3,protein ubiquitination (GO:0016567),44/525,0.0004952336610656207,0.0114992553640343,1.7877400282463574,PSMD10;PCNA;MAGEF1;NEDD8;BCL10;DTX3;RNF7;PSMA7;FBXL22;ANAPC11;PSMD8;PSMB6;ANKRD9;PSMB4;PSMB5;PSMB2;UBB;PSMB3;PSMB1;RACK1;ELOB;ELOC;RPS27A;SKP1;FBXO2;IRF2BP1;SYVN1;UCHL3;RBX1;PSMA5;UBE2W;PSMC5;RRAGA;RNF103;PSMA4;CDC34;PSMC4;UBE2T;PSME1;SDE2;PSME2;RNF181;UBA52;ZNF598
Ast3,regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434),14/102,0.0005042786686892866,0.0116268194456952,3.077709611451943,PSMD10;UBXN1;RPL11;TAF9;RAD23A;PARK7;CSNK1E;CCAR2;RBX1;SDCBP;SUMO1;SUMO2;RACK1;ELOB
Ast3,negative regulation of DNA recombination at telomere (GO:0048239),6/22,0.0005513504855635464,0.0124491137223106,7.223123732251521,POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L
Ast3,regulation of DNA recombination at telomere (GO:0072695),6/22,0.0005513504855635464,0.0124491137223106,7.223123732251521,POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L
Ast3,positive regulation of peptidase activity (GO:0010952),6/22,0.0005513504855635464,0.0124491137223106,7.223123732251521,PSENEN;NDUFA13;PRELID1;NCSTN;PSME1;PSME2
Ast3,response to reactive oxygen species (GO:0000302),10/59,0.0005904969041955601,0.0129777176042556,3.940105573797747,PRDX3;PRDX5;GPX1;HYAL2;GSTP1;AKT1;APOD;ROMO1;PDK2;SOD1
Ast3,negative regulation of ubiquitin-protein transferase activity (GO:0051444),5/15,0.0005879942497420648,0.0129777176042556,9.624113475177303,RPL5;RPS7;RPL23;RPL11;PARK7
Ast3,regulation of amyloid fibril formation (GO:1905906),5/15,0.0005879942497420648,0.0129777176042556,9.624113475177303,PFDN2;PFDN4;CRYAB;PFDN5;PFDN6
Ast3,protein stabilization (GO:0050821),20/179,0.0005906169587764506,0.0129777176042556,2.43924217718767,RPL5;RPS7;RPL23;RPL11;TAF9;SYVN1;PARK7;MT3;USP19;PDCL3;SUMO1;CDC37;PIN1;CALR;PFN1;PPIB;CCT7;CRYAB;GAPDH;PFN2
Ast3,negative regulation of ubiquitin protein ligase activity (GO:1904667),4/9,0.0006201706352932634,0.0133332701226672,15.387044534412956,RPL5;RPS7;RPL23;RPL11
Ast3,mitochondrial respirasome assembly (GO:0097250),4/9,0.0006201706352932634,0.0133332701226672,15.387044534412956,COX7A2;HIGD1A;COX7A1;HIGD2A
Ast3,"DNA-templated transcription, termination (GO:0006353)",11/70,0.0006230880662089454,0.0133332701226672,3.601288895799858,LSM10;PABPN1;SNRPG;CSTF2T;SNRPE;POLR2H;POLR3K;POLR2K;GTF2H5;SNRPB;POLR2L
Ast3,positive regulation of autophagy of mitochondrion (GO:1903599),4/9,0.0006201706352932634,0.0133332701226672,15.387044534412956,VDAC1;PARK7;SLC25A5;SLC25A4
Ast3,nucleocytoplasmic transport (GO:0006913),8/40,0.0006637842958875383,0.0140208373208761,4.821138211382114,NPM1;RGS14;SNRPD2;SNRPD1;SNRPG;SNRPE;HNRNPA1;SNRPB
Ast3,positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),8/40,0.0006637842958875383,0.0140208373208761,4.821138211382114,EIF5A;FIS1;UBB;RPS7;BAD;RACK1;BAX;SOD1
Ast3,regulation of viral transcription (GO:0046782),8/41,0.0007893129200569368,0.0165654519247846,4.67479674796748,CDK9;POLR2C;SUPT4H1;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L
Ast3,negative regulation of supramolecular fiber organization (GO:1902904),11/72,0.0007953179188084694,0.016585164752732,3.482846209120837,STMN1;TWF1;CIB1;PFDN2;PFDN4;PFN1;CRYAB;PFDN5;CORO1A;PFDN6;PFN2
Ast3,7-methylguanosine mRNA capping (GO:0006370),7/32,0.0008174546507743553,0.0168323680920455,5.396182741116752,POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;GTF2H5;POLR2L
Ast3,7-methylguanosine RNA capping (GO:0009452),7/32,0.0008174546507743553,0.0168323680920455,5.396182741116752,POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;GTF2H5;POLR2L
Ast3,T cell receptor signaling pathway (GO:0050852),18/158,0.0008660789513335148,0.017722140541662,2.490642417131124,PSMD10;STOML2;BCL10;PSMA7;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;PSME1;PSME2;SKP1
Ast3,RNA metabolic process (GO:0016070),16/133,0.0009162668797276384,0.0185176405199277,2.646910466582597,RNASEH2C;RNASE1;LAGE3;HNRNPK;PABPN1;HNRNPH1;PCBP1;POLR2C;PCBP2;HNRNPH2;POLR2H;HNRNPA1;POLR2I;POLR2J;POLR2K;POLR2L
Ast3,"protein alpha-1,2-demannosylation (GO:0036508)",6/24,0.0009135370977819224,0.0185176405199277,6.419878296146044,RNF103;UBB;SYVN1;RPS27A;RNF5;UBA52
Ast3,mitochondrial gene expression (GO:0140053),8/42,0.0009332229783424724,0.0186303172627637,4.537063605930177,MRPS28;MRPL2;MRPL51;MRPS12;MRPS34;MRPS21;MRPL23;MRPL57
Ast3,regulation of ubiquitin-dependent protein catabolic process (GO:2000058),8/42,0.0009332229783424724,0.0186303172627637,4.537063605930177,RPL5;PDCL3;RPS7;RPL23;MAGEF1;RPL11;RAD23A;CDK5RAP3
Ast3,protein insertion into ER membrane by stop-transfer membrane-anchor sequence (GO:0045050),4/10,0.000993112169223299,0.0192393446274383,12.821862348178138,EMC4;EMC6;EMC7;EMC9
Ast3,removal of superoxide radicals (GO:0019430),4/10,0.000993112169223299,0.0192393446274383,12.821862348178138,PRDX2;PRDX1;MT3;SOD1
Ast3,regulation of protein ubiquitination (GO:0031396),14/109,0.0009872609794205629,0.0192393446274383,2.849876224303089,PSMD10;UBXN1;CENPX;NSMCE3;PARK7;BCL10;FKBP1A;UBB;SVBP;AKT1;SPRY2;WASHC1;CDK5RAP3;VPS28
Ast3,modulation by symbiont of host process (GO:0044003),4/10,0.000993112169223299,0.0192393446274383,12.821862348178138,UBB;RPS27A;B2M;UBA52
Ast3,modification-dependent macromolecule catabolic process (GO:0043632),4/10,0.000993112169223299,0.0192393446274383,12.821862348178138,UBB;NEDD8;RPS27A;UBA52
Ast3,negative regulation of proteolysis (GO:0045861),8/43,0.0010974008734841,0.0211346497634533,4.407200929152149,CST3;CSTB;PRNP;TMEM59;CDK5;AKT1;GAS1;TIMP1
Ast3,regulation of mitophagy (GO:1901524),3/5,0.0011282274439791,0.0216012669683501,28.82608695652174,VDAC1;SLC25A5;SLC25A4
Ast3,negative regulation of Wnt signaling pathway (GO:0030178),20/191,0.0013295826900207,0.0253084519019066,2.2666233484946936,PSMD10;PSMA7;RBX1;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;SFRP2;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;PSME1;RACK1;PSME2;SOX9;PFDN5
Ast3,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),9/55,0.0014232282223305,0.0267795931029315,3.774116502277854,YWHAE;BEX3;GPX1;ARL6IP1;IFI6;AKT1;PARK7;MT3;LAMTOR5
Ast3,negative regulation of protein modification by small protein conjugation or removal (GO:1903321),9/55,0.0014232282223305,0.0267795931029315,3.774116502277854,RPL5;UBXN1;SVBP;RPL11;AKT1;SPRY2;PARK7;VPS28;COPS9
Ast3,negative regulation of calcium ion transmembrane transport (GO:1903170),4/11,0.0014995547999109,0.0275816989601595,10.989589358010411,FKBP1A;YWHAE;FKBP1B;VDAC1
Ast3,cellular response to superoxide (GO:0071451),4/11,0.0014995547999109,0.0275816989601595,10.989589358010411,PRDX2;PRDX1;MT3;SOD1
Ast3,actin filament depolymerization (GO:0030042),4/11,0.0014995547999109,0.0275816989601595,10.989589358010411,CFL2;CFL1;DSTN;TWF1
Ast3,release of cytochrome c from mitochondria (GO:0001836),5/18,0.0014816060822788,0.0275816989601595,7.401995167952615,GGCT;FIS1;BAD;IFI6;BAX
Ast3,interleukin-12-mediated signaling pathway (GO:0035722),8/46,0.0017318959020852,0.0315012621301498,4.05862216516902,CDC42;GSTO1;RPLP0;CFL1;PSME2;MIF;PPIA;SOD1
Ast3,spliceosomal complex assembly (GO:0000245),8/46,0.0017318959020852,0.0315012621301498,4.05862216516902,SRPK3;SNRPD2;SNRPD1;SNRPG;SNRPE;SRSF6;LUC7L2;SRSF9
Ast3,cellular response to cadmium ion (GO:0071276),6/27,0.0017691607920727,0.0320012841615813,5.5018835120255,MT2A;SUMO1;AKT1;MT1G;MT3;MT1E
Ast3,regulation of canonical Wnt signaling pathway (GO:0060828),24/253,0.0018384741036292,0.0330723308531993,2.033166119311415,PSMD10;FZD7;CSNK1E;CCAR2;PSMA7;RBX1;PSMD8;PSMA5;PSMB6;PSMB4;PSMC5;SFRP2;PSMA4;PSMB5;PSMB2;PSMB3;PSMC4;PSMB1;GID8;PSME1;PSME2;PIN1;SOX9;PFDN5
Ast3,cellular response to copper ion (GO:0071280),5/19,0.001929384164825,0.0345180533094935,6.872919380518165,PRNP;MT2A;MT1G;MT3;MT1E
Ast3,negative regulation of trophoblast cell migration (GO:1901164),3/6,0.0021731894595987,0.0372514256058964,19.216380182002023,GJA1;CALR;TIMP1
Ast3,regulation of epinephrine secretion (GO:0014060),3/6,0.0021731894595987,0.0372514256058964,19.216380182002023,CRH;CARTPT;VIP
Ast3,ATP synthesis coupled electron transport (GO:0042773),3/6,0.0021731894595987,0.0372514256058964,19.216380182002023,NDUFB6;NDUFA12;COA6
Ast3,cellular response to nitrogen starvation (GO:0006995),4/12,0.002161495652619,0.0372514256058964,9.615384615384617,GABARAPL2;MAP1LC3B;MAP1LC3A;NPRL2
Ast3,negative regulation of calcium ion transmembrane transporter activity (GO:1901020),6/28,0.0021583962108751,0.0372514256058964,5.251521298174442,YWHAE;FKBP1A;GSTO1;FKBP1B;SRI;CALM2
Ast3,negative regulation of oxidative stress-induced cell death (GO:1903202),6/28,0.0021583962108751,0.0372514256058964,5.251521298174442,HTRA2;AKT1;PARK7;TXN;PPIA;ATF4
Ast3,cellular response to nitrogen levels (GO:0043562),4/12,0.002161495652619,0.0372514256058964,9.615384615384617,GABARAPL2;MAP1LC3B;MAP1LC3A;NPRL2
Ast3,vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668),3/6,0.0021731894595987,0.0372514256058964,19.216380182002023,TAP2;CALR;SEC22B
Ast3,cellular response to starvation (GO:0009267),17/158,0.0022169821512549,0.0378041643917128,2.3330714675395527,GABARAPL2;ATP6V1G1;ATP6V0B;CEBPB;ATP6V1G2;NPRL2;CASTOR1;CARTPT;RRAGA;MAP1LC3B;MAP1LC3A;LAMTOR2;HNRNPA1;LAMTOR4;ATF4;ATP6V1F;LAMTOR5
Ast3,chromosome organization (GO:0051276),13/106,0.0022503349574774,0.038174075910784,2.700747965336584,PHF1;SUPT4H1;HMGB2;NUCKS1;RBX1;UBB;SOX15;POLE3;COPS8;RPS27A;UBA52;FAM50B;FAM50A
Ast3,cellular response to interleukin-12 (GO:0071349),8/48,0.002295200691951,0.0387344694095237,3.8552845528455286,CDC42;GSTO1;RPLP0;CFL1;PSME2;MIF;PPIA;SOD1
Ast3,positive regulation of protein ubiquitination (GO:0031398),11/82,0.0023516457400228,0.0394835289888967,2.990725187003776,PSMD10;FKBP1A;MTA1;UBB;CENPX;PDCD6;NSMCE3;PIN1;BCL10;CDK5RAP3;RBX1
Ast3,spliceosomal snRNP assembly (GO:0000387),7/38,0.0023661339877525,0.0395240952852134,4.350384804322908,SNRPD2;SNRPD1;SNRPG;SNRPE;SNRPC;LSM4;SNRPB
Ast3,response to cadmium ion (GO:0046686),6/29,0.0026088548037745,0.0433573128302432,5.022929711614781,MT2A;SUMO1;AKT1;MT1G;MT3;MT1E
Ast3,regulation of exit from mitosis (GO:0007096),7/39,0.0027623529076456,0.0456764819173334,4.214213197969543,ANAPC15;UBB;BUB3;RPS27A;UBA52;ANAPC11;ANAPC2
Ast3,iron ion homeostasis (GO:0055072),9/61,0.0029789747885146,0.0490108716462164,3.337585100555599,TMEM199;ATP6V1G1;CCDC115;FTH1;NEDD8;B2M;ISCU;SKP1;SOD1
Ast3,purine-containing compound catabolic process (GO:0072523),4/13,0.0030004587991962,0.0491175105428424,8.54655870445344,NT5C;GPX1;NUDT15;DNPH1
Ast7,"regulation of transcription, DNA-templated (GO:0006355)",115/2244,2.6921430229625925e-08,6.972650429473114e-05,1.8527585076670088,ATF1;ZNF573;SMARCAL1;WWC1;WWC2;PRDM2;CCAR1;UBE2L3;ZMIZ1;ZNF606;POFUT1;ZNF84;WWC3;ZNF205;ZNF721;PKNOX1;ZNF324;ZNF445;MED1;ZNF440;KDM2A;ZNF282;THOC1;KCTD1;ZNF14;ZNF439;TRIB3;ERG;TRIM16;ZNF157;ZNF398;L3MBTL1;CTBP2;PSEN1;PRDM11;ZNF26;SBNO1;NUP85;ZNF823;TASP1;HIVEP3;TP53BP1;ZNF786;ZKSCAN1;SNX6;ZNF383;ZNF382;BICRAL;INSR;TRIP4;PBX4;TRERF1;FLI1;TADA2A;TFCP2;GON4L;YEATS2;ZFAT;GTF2IRD1;MMS19;ZNF773;RCOR1;ZNF133;ZNF496;GMEB1;ZNF251;ZC3H8;TCF20;CTCF;ZNF48;IKBKB;EDRF1;PPP1R13L;SUFU;ZNF41;ZNF641;ZHX2;BAZ1B;SAFB;ARID1A;ZNF75A;ZFP90;DNM2;NCOR2;NFX1;THRAP3;MTF1;ZNF234;VGLL4;ENG;HDAC4;USP13;ZNF594;HDAC6;RELB;CAND2;CUX1;NSD1;NSD2;ASCC2;ZNF589;VHL;ZNF587;ZNF586;KDM4A;PCGF6;ZNF461;TCF7L1;FBXL19;WWP2;PEX14;HIPK2;ZNF70;ZNF337;ZNF212
Ast7,negative regulation of hippo signaling (GO:0035331),6/13,1.2113930766172014e-06,0.0009189977641560428,27.135854341736696,WWC1;DLG5;WWC2;WWC3;MARK3;VGLL4
Ast7,regulation of transcription by RNA polymerase II (GO:0006357),107/2206,1.3487302900708614e-06,0.0009189977641560428,1.7241282541588625,ATF1;ZNF573;SMARCAL1;TCERG1;GABPB2;RIF1;PRDM4;MAML1;WWC1;WWC2;PRDM2;ZMIZ1;ZNF606;ZNF84;WWC3;ZNF205;ZNF721;PKNOX1;ZNF324;ZNF445;MED1;ZNF440;KDM2A;ZNF282;KCTD1;ZNF14;ZNF439;PRKD2;TRIB3;ERG;ZNF157;ZNF398;CTBP2;PRKDC;PSEN1;ZNF26;ZNF823;HIVEP3;TP53BP1;ZNF786;ZKSCAN1;ZNF383;ZNF382;INO80;PBX4;TRERF1;FLI1;MAVS;TADA2A;TFCP2;YEATS2;AGO1;GTF2IRD1;CDK12;ZNF773;RCOR1;ZNF133;ZNF496;GMEB1;ZNF251;TCF25;TCF20;CTCF;ZNF48;IKBKB;PPP1R13L;ZMYM5;SUFU;ZNF41;ZNF641;ZHX2;DNMT3A;BAZ1B;SAFB;ARID1A;ZNF75A;ZFP90;NCOR2;RBL1;NFX1;THRAP3;MTF1;ZNF234;ENG;HDAC4;ZNF594;RELB;CUX1;NSD1;ZNF589;VHL;ZNF587;ZNF586;JAZF1;PCGF6;ZNF461;TCF7L1;SEMA4D;FBXL19;WWP2;GATAD2B;HIPK2;SKI;ZNF70;ZNF337;TRIM37;ZNF212
Ast7,regulation of hippo signaling (GO:0035330),7/20,1.4193015662641587e-06,0.0009189977641560428,17.069495152964876,WWC1;DLG5;WWC2;WWC3;NF2;MARK3;VGLL4
Ast7,double-strand break repair (GO:0006302),17/164,1.3566862883347455e-05,0.0070276349735739,3.701257541286065,SMARCAL1;KDM4A;KDM2A;RIF1;PRKDC;RNF8;INO80;BAZ1B;PALB2;SPIDR;RAD52;HERC2;SWI5;NSD2;MEIOB;DNA2;TP53BP1
Ast7,"negative regulation of transcription, DNA-templated (GO:0045892)",53/948,2.3167760157619736e-05,0.0095118849841502,1.9376299006278737,ZNF133;TCERG1;RIF1;TCF25;WWC1;WWC2;ZC3H8;PRDM2;CTCF;ZMYM5;SUFU;WWC3;ZNF205;MED1;ZNF440;ZHX2;KDM2A;ZNF282;DNMT3A;KCTD1;ZNF75A;ZFP90;NCOR2;NFX1;ZNF439;TRIB3;VGLL4;ZNF398;L3MBTL1;HDAC4;CTBP2;PSEN1;PRDM11;HDAC6;CUX1;NSD1;ZNF589;VHL;JAZF1;SNX6;KDM4A;PCGF6;SEMA4D;WWP2;TRERF1;GATAD2B;PEX14;SKI;YEATS2;GTF2IRD1;ZNF337;TRIM37;RCOR1
Ast7,regulation of cellular macromolecule biosynthetic process (GO:2000112),32/468,2.570779725446013e-05,0.0095118849841502,2.3729216895763536,USP13;CYFIP1;WWC1;WWC2;PRDM2;CCAR1;UBE2L3;SBNO1;POFUT1;NSD1;SUFU;NSD2;WWC3;ZNF205;ASCC2;VHL;TCF7L1;ESCO1;ZNF282;INSR;TRIP4;TSC1;DNM2;GON4L;NFX1;ZFAT;GEMIN5;GTF2IRD1;MAPKAPK5;ZNF212;ZNF398;ENG
Ast7,negative regulation of transcription by RNA polymerase II (GO:0000122),41/684,4.350705654606043e-05,0.014085409556787,2.0708253933171794,ZNF133;HDAC4;TCERG1;CTBP2;RIF1;TCF25;WWC1;WWC2;PRDM2;CTCF;PSEN1;CUX1;NSD1;ZMYM5;SUFU;WWC3;ZNF205;ZNF589;VHL;JAZF1;MED1;ZNF440;ZHX2;SEMA4D;ZNF282;DNMT3A;KCTD1;WWP2;GATAD2B;ZNF75A;ZFP90;NCOR2;SKI;YEATS2;NFX1;ZNF439;GTF2IRD1;ZNF337;TRIM37;TRIB3;ZNF398
Ast7,phosphorylation (GO:0016310),28/400,5.420533962200927e-05,0.0155990921801115,2.42518680517587,PANK2;PXK;MAML1;PRKDC;PNKP;PIK3CB;IKBKB;GRK5;GRK4;MKNK1;IKBKE;MARK3;XYLB;MORC3;PRKCH;INSR;EIF2AK2;LMTK2;CDC42BPB;TYK2;HIPK2;SRPK1;TGFBR2;PRKD2;CDK12;ERG;CSNK1G2;FGFR1
Ast7,regulation of establishment of protein localization (GO:0070201),5/15,6.433864608722293e-05,0.0166637093365907,15.800978792822184,CEP295;CENPJ;GAPVD1;CORO2B;SPIDR
