Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,positive regulation of establishment of protein localization to telomere (GO:1904851),3/10,2.836548419867292e-05,0.0103948776318384,0,0,69.22299651567944,724.7881360759386,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,regulation of establishment of protein localization to telomere (GO:0070203),3/11,3.882307238781856e-05,0.0103948776318384,0,0,60.56707317073171,615.1492266327808,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,regulation of protein localization to Cajal body (GO:1904869),3/11,3.882307238781856e-05,0.0103948776318384,0,0,60.56707317073171,615.1492266327808,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,positive regulation of protein localization to Cajal body (GO:1904871),3/11,3.882307238781856e-05,0.0103948776318384,0,0,60.56707317073171,615.1492266327808,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",3/12,5.152595177002898e-05,0.0110368588691402,0,0,53.83468834688347,531.5327556031584,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,positive regulation of telomerase RNA localization to Cajal body (GO:1904874),3/15,0.00010510163594627498,0.01876064201641,0,0,40.36991869918699,369.8119794250224,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),9/306,0.00014066018152515255,0.0215210077733483,0,0,5.07044807044807,44.97063364748842,CNP;GLRB;GABRA4;GAD1;GABRA3;SLC17A6;MBP;AKAP5;VAMP2
GO_Biological_Process_2021,regulation of telomerase RNA localization to Cajal body (GO:1904872),3/18,0.00018590335200614836,0.0248878112498231,0,0,32.291056910569104,277.3893376442282,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,positive regulation of establishment of protein localization (GO:1904951),3/19,0.00021974626137369205,0.0261498051034693,0,0,30.271341463414632,254.9766302343543,CCT6A;CCT8;CCT5
GO_Biological_Process_2021,chloride transmembrane transport (GO:1902476),4/50,0.0002763855056109476,0.0296008876509324,0,0,14.132573057733428,115.79826040976606,SLC12A2;GLRB;GABRA4;GABRA3
GO_Biological_Process_2021,positive regulation of macroautophagy (GO:0016239),4/53,0.00034634264003862136,0.0337211788619421,0,0,13.26530612244898,105.69904672375006,PIP4K2B;SMCR8;OPTN;PAFAH1B2
GO_Biological_Process_2021,inorganic anion transmembrane transport (GO:0098661),4/65,0.0007555292203583934,0.0609407410727244,0,0,10.649287825853266,76.54806169325826,SLC12A2;GLRB;GABRA4;GABRA3
