Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Mic2,chemical synaptic transmission (GO:0007268),85/306,1.9226727727271804e-25,7.1773374605905655e-22,4.66176395223697,GABRB3;CHRM2;GABRB2;CHRM3;GABRB1;GRIK4;GRIK2;HTR2A;HTR4;SLC6A1;CDH8;GRM1;GRM3;RIMS1;GPR176;GRM5;GRM7;DLGAP1;KIF1B;BSN;DLGAP2;PPFIA3;UNC13C;UNC13A;KCND2;GRID1;SYN3;GABRG3;SYN2;GABRG2;SHISA6;CACNB1;CACNB2;TBC1D24;AMPH;GRIA1;GRIA2;NLGN1;CHRNA5;KCNA1;NRXN1;SLC1A1;CACNA1B;CACNA1A;NRXN2;LIN7A;AKAP5;CACNA1E;CAMKK1;CAMKK2;LRP6;GRIN2A;GLRA2;GLRA3;PTCHD1;PRKAR2B;KCNN1;SLC17A6;MAPK1;ASIC2;GRIA3;GRIA4;GABRA2;GABBR2;RIC3;DTNA;PTPRN2;NLGN4X;GABRA6;HTR1E;SYT1;GABRA4;GABRA3;GAD2;SYNJ2BP;GRIN2B;RIT2;DLG2;GLRB;NOVA1;CAMK4;RIMBP2;PDE7B;APBA2;CBLN2
Mic2,anterograde trans-synaptic signaling (GO:0098916),69/244,2.338468889789836e-21,4.364752182792729e-18,4.7405254732084,GABRB3;CHRM2;GABRB2;CHRM3;GABRB1;GRIK4;GRIK2;HTR2A;HTR4;SLC6A1;GRM1;GRM3;GPR176;GRM5;GRM7;DLGAP1;BSN;UNC13C;KCND2;GABRG3;SYN2;GABRG2;CACNB1;CACNB2;AMPH;GRIA1;GRIA2;NLGN1;CHRNA5;KCNA1;NRXN1;SLC1A1;CACNA1B;CACNA1A;NRXN2;AKAP5;CACNA1E;CAMKK1;CAMKK2;LRP6;GRIN2A;GLRA2;GLRA3;PTCHD1;PRKAR2B;KCNN1;MAPK1;ASIC2;GRIA3;GRIA4;GABRA2;GABBR2;DTNA;NLGN4X;GABRA6;HTR1E;SYT1;GABRA4;GABRA3;GAD2;SYNJ2BP;GRIN2B;RIT2;DLG2;GLRB;NOVA1;CAMK4;PDE7B;APBA2
Mic2,axonogenesis (GO:0007409),67/240,1.9289317256483104e-20,2.4002340439483808e-17,4.65071331534665,EPHB6;ROBO2;PTPRO;ROBO1;OPHN1;KIF5C;GRB10;TNR;NRCAM;EPHB1;SPTAN1;EPHA5;EPHA4;SEMA6C;EPHA7;EPHA6;DSCAM;DCC;SEMA6D;LMTK2;UNC5C;ANK3;UNC5D;GFRA2;ZDHHC17;ENAH;DOK5;PARD3;DOK6;DSCAML1;EPHA3;SPTBN4;SEMA7A;SHC3;LAMA2;SEMA3C;ATL1;PLPPR4;NRXN1;SEMA3A;LAMA3;LRTM1;NRXN3;NTN4;EFNA5;EFNB2;SLITRK4;SLIT1;MAPK1;SLITRK5;NCAM1;SLIT3;PLCG1;CTNNA2;SLIT2;PAK3;SPTBN1;NTNG1;LGI1;BDNF;CNTN6;BAIAP2;PTK2;DAB1;CNTN2;CNTN4;FGFR2
Mic2,modulation of chemical synaptic transmission (GO:0050804),40/109,2.707562510053809e-17,2.5268327125077173e-14,6.87890207548231,NLGN1;MCTP1;CLSTN2;CLSTN3;FMR1;CACNA1B;CACNA1A;GRIK4;ATP1A2;GRIK2;GRM1;RIMS2;GRM3;RIMS1;GRM5;CDH2;OPHN1;GRM7;GRM8;TMEM108;DLGAP1;LRRC4C;DLGAP3;DLGAP2;LGI1;SLC12A2;UNC13A;NLGN4X;IQSEC2;SYT1;BDNF;GRID1;BTBD9;SYN3;SNCAIP;DGKZ;SLC8A3;NRG3;DGKI;CNTNAP4
Mic2,regulation of cation channel activity (GO:2001257),35/89,2.1013287834316084e-16,1.31169867497178e-13,7.672469374597034,GRIA1;GRIA2;NLGN1;JPH1;JPH4;CACNG7;CACNG8;GRIN2A;JPH3;NETO1;GSG1L;PTK2B;DMD;CACNG2;CACNG3;GRIA3;GRIA4;ACTN2;DAPK1;PDE4D;ANK2;KCNAB1;ANK3;SHISA9;GRIN2B;SHISA7;SHISA6;CACNB1;CACNB2;DLG2;FGF14;DLG3;LRRC7;FGF12;SHANK1
Mic2,axon guidance (GO:0007411),55/203,2.172020870005875e-16,1.31169867497178e-13,4.433729941567956,EPHB6;ROBO2;PTPRO;ROBO1;OPHN1;KIF5C;GRB10;TNR;EPHB1;SPTAN1;EPHA5;EPHA4;SEMA6C;EPHA7;EPHA6;DSCAM;DCC;SEMA6D;UNC5C;UNC5D;GFRA2;ENAH;DOK5;DOK6;DSCAML1;EPHA3;SPTBN4;SEMA7A;SHC3;LAMA2;SEMA3C;NRXN1;SEMA3A;LAMA3;LRTM1;NRXN3;NTN4;EFNA5;EFNB2;SLIT1;MAPK1;NCAM1;SLIT3;PLCG1;SLIT2;SPTBN1;PLXNA4;LGI1;BDNF;CNTN6;PTK2;DAB1;NFIB;CNTN2;CNTN4
Mic2,synapse organization (GO:0050808),42/126,2.459654627592408e-16,1.31169867497178e-13,5.935880829015544,NLGN1;PTPRS;CTNND2;NRXN1;LRP4;NRXN2;ARHGAP39;SLC6A1;GPHN;PTPRF;GRM5;CDH2;NRCAM;APBB2;LRRC4C;PAK3;PPFIA4;GPC6;PPFIA3;PPFIA2;LRRC4B;KIRREL3;NTNG1;UNC13C;UNC13A;NLGN4X;DSCAM;BDNF;ANK3;CACNB1;PTPRD;DNM3;SLC8A3;CACNB2;LRFN5;PPFIBP1;CNTN2;MAPT;PDZRN3;SHANK2;CBLN2;ADGRL3
Mic2,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),49/170,6.378356090674873e-16,2.9763004108111623e-13,4.819719642751523,PTPRT;ROBO2;TENM1;TENM2;PTPRS;TENM3;CDH9;CDH8;PTPRF;CDH7;ROBO1;CDH6;TRO;CDH4;CDH2;KIRREL3;DSCAM;UNC5D;CLDN11;CDH10;CDH11;IL1RAPL1;CDH12;CDHR3;CDH13;DSG2;DSCAML1;CDH18;CRB1;NLGN1;CDH20;CDH22;LRRC4C;GPC6;LRRC4B;NTNG1;TGFB2;CADM1;CNTN6;IGSF11;PTPRD;LRFN5;CNTN2;ADGRL1;CNTN4;FAT4;NECTIN3;ADGRL3;NECTIN1
Mic2,regulation of neurotransmitter receptor activity (GO:0099601),26/58,3.6181984409595924e-14,1.5007483089002394e-11,9.573958333333334,GRIA1;GRIA2;NLGN1;CACNG7;CACNG8;GRIN2A;NETO1;GSG1L;PTK2B;DLGAP1;DLGAP3;CACNG2;DLGAP2;CACNG3;GRIA3;GRIA4;ACTN2;DAPK1;SHISA9;GRIN2B;SHISA7;SHISA6;DLG2;DLG3;LRRC7;SHANK1
Mic2,nervous system development (GO:0007399),83/447,1.920058708778109e-13,7.167579159868679e-11,2.738387693477514,CHRM2;ROBO2;NCKAP1;CHRM3;TENM1;SH3GL3;NRSN1;LDB1;MYT1L;GDA;LDB2;ROBO1;RPS6KA6;CDH2;OPHN1;DPYSL5;DPYSL2;DPF1;ADORA1;NRCAM;TEAD1;EPHB1;SH3GL2;KIRREL3;RBFOX1;TRPC5;SRRM4;RBFOX2;RBFOX3;DSCAM;TMOD2;NRG1;GFRA2;DNM3;ALDH5A1;IL1RAPL2;SCN8A;TYRO3;DCX;NDUFS2;RAPGEF5;DSCAML1;SHANK2;NLGN1;INTU;NRXN1;ADAM22;NRXN2;EFNA5;KALRN;NPAS2;TRAK2;NEUROD2;ACVR1C;MOBP;PTPRZ1;ERBB4;BTBD3;ADAM23;SPOCK1;HES1;ASIC2;MARK4;LGI1;ARNT2;BDNF;CNTN6;POU6F2;LSAMP;CRIM1;DCLK1;NELL1;AHI1;NFASC;APC;GLRB;NEURL1;FAT4;CNTN4;SCN2A;APBA2;FGF12;ADGRL3
