Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),19/128,5.820020488248247e-28,2.3454682567640438e-25,0,0,86.42385321100917,5419.733070797417,STIL;BUB1B;TTK;KNL1;KIF11;WDR62;AURKB;AURKA;SGO1;CENPE;CENPF;CENPI;KIF4A;CENPK;TACC3;NUSAP1;BUB1;DLGAP5;SPC25
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),19/157,3.496268103676958e-26,7.044980228909071e-24,0,0,68.1625,3995.3801280468074,STIL;BUB1B;TTK;KNL1;KIF11;WDR62;AURKB;AURKA;SGO1;CENPE;TPX2;CENPF;CENPI;PRC1;KIF4A;CENPK;BUB1;DLGAP5;SPC25
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),11/102,7.967874746006834e-15,1.070351174213585e-12,0,0,49.98855311355312,1622.7963253394655,SGO1;CENPE;KIF18B;PRC1;CENPK;KIF14;NUSAP1;NCAPG;NCAPH;CEP55;DLGAP5
GO_Biological_Process_2021,centromere complex assembly (GO:0034508),6/37,1.0987940436654647e-09,1.1070349989929557e-07,0,0,72.7084601339014,1499.906647293785,CENPE;CENPF;CENPI;CENPK;KNL1;DLGAP5
GO_Biological_Process_2021,sister chromatid segregation (GO:0000819),5/34,4.8954212638856585e-08,3.94570953869184e-06,0,0,63.57598978288633,1070.1352450717577,TOP2A;SGO1;KIF18B;CENPK;NUSAP1
GO_Biological_Process_2021,mitotic nuclear division (GO:0140014),6/74,8.049748948695708e-08,5.406748043873951e-06,0,0,33.08490566037736,540.4432520485494,SGO1;TPX2;KIF18B;CENPK;NUSAP1;KIF11
GO_Biological_Process_2021,regulation of cell cycle G2/M phase transition (GO:1902749),6/85,1.853520264478038e-07,9.410760138779584e-06,0,0,28.46238356818725,441.1956631210583,TPX2;CENPF;KIF14;HMMR;GTSE1;AURKA
GO_Biological_Process_2021,mitotic spindle assembly (GO:0090307),5/44,1.8681409704773364e-07,9.410760138779584e-06,0,0,47.25071225071225,732.0624598266652,TPX2;PRC1;KIF4A;KIF11;AURKB
GO_Biological_Process_2021,spindle assembly checkpoint signaling (GO:0071173),4/21,3.936540862062813e-07,1.4422054249193755e-05,0,0,85.23636363636363,1257.0482697456207,CENPF;BUB1B;TTK;BUB1
GO_Biological_Process_2021,mitotic spindle assembly checkpoint signaling (GO:0007094),4/21,3.936540862062813e-07,1.4422054249193755e-05,0,0,85.23636363636363,1257.0482697456207,CENPF;BUB1B;TTK;BUB1
GO_Biological_Process_2021,mitotic spindle checkpoint signaling (GO:0071174),4/21,3.936540862062813e-07,1.4422054249193755e-05,0,0,85.23636363636363,1257.0482697456207,CENPF;BUB1B;TTK;BUB1
GO_Biological_Process_2021,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),4/22,4.800762978966761e-07,1.5022380371633789e-05,0,0,80.4969696969697,1171.176234882971,CENPF;BUB1B;TTK;BUB1
GO_Biological_Process_2021,centromeric sister chromatid cohesion (GO:0070601),3/6,4.845929152139931e-07,1.5022380371633789e-05,0,0,356.0357142857143,5176.743851044364,SGO1;BUB1B;BUB1
