Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,nervous system development (GO:0007399),34/447,2.215707125764382e-06,0.006017860553576,0,0,2.6184978143230904,34.09268171272472,CNTFR;GPM6A;NUMBL;GMFB;CHRM1;DCTN1;NCAN;ROGDI;CRMP1;NR2E1;HMGCR;RAPGEFL1;EDNRB;EFNB3;SPOCK2;DVL1;DNER;GPM6B;EMX1;ACTL6B;MOG;SCD5;APLP1;HPCAL4;PCDHB10;POU3F2;POU3F3;CHERP;RNF103;DLG4;MAL;ZNF358;NBL1;SHANK3
GO_Biological_Process_2021,negative regulation of Wnt signaling pathway (GO:0030178),19/191,1.0252257612171398e-05,0.0139225658373287,0,0,3.470882655197351,39.87354375164668,PSMD10;GSK3A;TPBG;IGFBP2;DKK3;RBX1;SOX2;PSMC5;PSMA4;PSMC3;WIF1;PSME3;DVL1;DVL2;RACK1;DACT3;IGFBP6;LZTS2;TRABD2A
GO_Biological_Process_2021,substantia nigra development (GO:0021762),8/43,5.072424296370255e-05,0.0345342231250525,0,0,7.105190629306385,70.26398752299262,G6PD;MAOB;BASP1;PLP1;NDRG2;SYNGR3;CALM1;INA
GO_Biological_Process_2021,regulation of canonical Wnt signaling pathway (GO:0060828),21/253,5.551309075301274e-05,0.0345342231250525,0,0,2.8445303210463733,27.8732445407867,PSMD10;JRK;GSK3A;TPBG;DAPK3;IGFBP2;ATP6AP2;DKK3;RBX1;SOX2;GPRC5B;PSMC5;PSMA4;PSMC3;PSME3;GID8;DVL1;DVL2;DACT3;IGFBP6;LZTS2
GO_Biological_Process_2021,negative regulation of canonical Wnt signaling pathway (GO:0090090),16/165,6.86918145216279e-05,0.0345342231250525,0,0,3.3615635179153096,32.223546222928995,PSMD10;GSK3A;TPBG;IGFBP2;DKK3;RBX1;SOX2;PSMC5;PSMA4;PSMC3;PSME3;DVL1;DVL2;DACT3;IGFBP6;LZTS2
GO_Biological_Process_2021,secondary alcohol biosynthetic process (GO:1902653),7/34,7.629062546035174e-05,0.0345342231250525,0,0,8.049521431543903,76.3171946674501,FDPS;G6PD;DHCR24;MVD;HMGCR;DHCR7;ACAT2
GO_Biological_Process_2021,cholesterol biosynthetic process (GO:0006695),7/35,9.279353955408134e-05,0.0360038933469835,0,0,7.761637239165329,72.06783823504703,FDPS;G6PD;DHCR24;MVD;HMGCR;DHCR7;ACAT2
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",20/251,0.00014470421033137946,0.0484234111448955,0,0,2.716485700092257,24.01595792277453,HSPA8;IK;CPSF1;GPKOW;CSTF2T;ZCRB1;DDX41;PLRG1;LSM4;CHERP;NUDT21;XAB2;ZMAT2;PUF60;SYF2;NOVA2;FRG1;SNRPG;SRSF8;HNRNPA0
GO_Biological_Process_2021,sterol biosynthetic process (GO:0016126),7/38,0.00016046049348455825,0.0484234111448955,0,0,7.009423704240667,61.24457881061578,FDPS;G6PD;DHCR24;MVD;HMGCR;DHCR7;ACAT2
GO_Biological_Process_2021,regulation of axonogenesis (GO:0050770),8/51,0.0001785156844567383,0.0484848598984501,0,0,5.780901817094145,49.89400448837008,LINGO1;MAG;EFNB3;ARHGDIA;PLXNB1;THY1;RTN4;PLXNA3
