Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),43/90,2.213990686764513e-89,1.0892834178881404e-86,0,0,791.0647548566143,161484.22257970093,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),43/93,1.461395400456513e-88,3.5950326851230225e-86,0,0,743.4886956521739,150369.17342808773,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPL22L1;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),43/94,2.690827464925225e-88,4.412957042477369e-86,0,0,728.8738277919864,146968.39807783617,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),43/103,4.526354898358455e-86,5.5674165249808995e-84,0,0,619.2623188405797,121692.72514902423,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",43/113,7.011139548421843e-84,6.898961315647095e-82,0,0,530.5291925465839,101580.23751891656,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,translation (GO:0006412),45/214,1.1133396958831546e-74,8.002164793467423e-73,0,0,250.61284868977177,42675.34144711027,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;EEF1B2;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPL22L1;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),43/171,1.1385193811843892e-74,8.002164793467423e-73,0,0,289.2860054347826,49254.28895860875,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;UBA52;RPS24;RPS23
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),42/162,2.3341255210871612e-73,1.435487195468604e-71,0,0,288.95416666666665,48325.00530787039,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;RPL28;RPS24;RPS23
GO_Biological_Process_2021,cellular macromolecule biosynthetic process (GO:0034645),44/314,2.4860153030992905e-64,1.3590216990276118e-62,0,0,145.65925925925927,21332.492556170368,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;EEF1B2;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;PTMA;RPL28;RPS24;RPS23
GO_Biological_Process_2021,gene expression (GO:0010467),43/356,1.0555668302939238e-59,5.1933888050461056e-58,0,0,117.1972496180025,15915.20397326526,RPL5;RPL30;RPL10;RPL32;RPL31;RPL12;RPLP1;RPL11;RPLP0;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS16;RPL18A;RPS18;RPL13;RPL35;RPLP2;RPL37;RPL18;RPS27A;RPS11;RPL19;RPS12;RPS8;RPL23;RPS5;RPS6;RPL13A;RPL23A;RPS27;RPL37A;RPS20;RPL29;PTMA;RPL28;RPS24;RPS23
